,description
ngcm,EPSRC Centre for Doctoral Training in Next Generation Computational Modelling
computationalmodelling,Max Planck Institute for the Structure and Dynamics of Matter / University of Southampton (UK) / European XFEL
OpenDreamKit,Open Digital Research Environment Toolkit for the Advancement of Mathematics: a Horizon 2020 European Research Infrastructure project
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
panosc-eu,Photon and Neutron Open Science Cloud
ubermag,Computational (micro)magnetism tools
reproducible-micromagnetics,
oscovida,Open Science Tracking COVID19 cases and deaths: all code and data available
nmag-project,NMAG is a Micromagnetic modelling tool based on finite elements
MaMMoS-project,
Marketcloud,"Marketcloud, ecommerce backend api as a service"
infiniteuny,Let's Make Infinite Technology!
ampl,A modeling language for mathematical programming
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
fire2a,
erldocs,
MetaVisage,
FuzzyMonkeyCo,QuickCheck your APIs using Swagger/OpenAPI
OpenScienceWorkshops,
infrasenselabs,Engineering resilient water supply systems for smarter cities
PDP-10,
skidvision,"Vision and Touch Research, Computational Modeling"
AntaresSimulatorTeam,
Nolock,Schulprojekt
SheepScanner,
snoonetIRC,General purpose IRC network
EpicGames,
RoomDJ,
BitCraftIO,
GTInventory,Inventory management system for the College of Sciences at Georgia Tech.
gnulag,Highbrow society of programmers and sysadmins.
iridescent-studio,"By makers, for makers."
Magnolia-Fi,Trust in Bitcoin
strevol-mpi-mis,
microscopic-image-analysis,
PyPSA,Python for Power System Analysis
JuliaLang,The Julia Programming Language
biaslab,Bayesian Intelligent Autonomous Systems lab
JuliaWeb,Web technologies in the Julia Programming Language
mitmath,educational materials for MIT math courses
JuliaCommunity,Organizing Julia Community Initiatives
ClimateMARGO,Workspace for all software related to the ClimateMARGO simple economic model
JuliaPluto,🎈 Simple reactive notebooks for Julia — https://github.com/fonsp/Pluto.jl
machbarschaft,
Colivery,
flybywiresim,FlyByWire Simulations is a community-driven group currently focused on creating the A320 family and the A380 for MSFS.
DestinE-Climate-DT,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaStochOpt,Stochastic Optimization in Julia
exanauts,An eclectic collection of ECP ExaSGD project codes
MadNLP,
futuremarinefuels,
codeneuro,
lightning-viz,
thunder-project,
bolt-project,
binder-project,THIS PROJECT HAS MOVED TO: https://github.com/jupyterhub/binderhub
czi-hca-comp-tools,collaborative computational tools for the human cell atlas supported by CZI
carbonplan,Data and science for climate action
ckb-next,
neuronika,
Rust-GPU,Fast GPU computing for the Rust language
OpenNewsLabs,"An org for OpenNews fellows, alums, and community collaborators to use for experiments and collaboration on projects, tools, and conference sessions."
publicscience,
ml4a,machine learning for artists
learning-gardens,Learning Platform and Support Structure
dark-industries,synergistic management solutions: we got 'em
thenewinquiry,
SAP,"SAP SE, a global software company, is one of the largest vendors of ERP and other enterprise applications."
ffgtso,Public repository for kreisgt.freifunk.net
osism,The European cloud for critical infrastructures.
SovereignCloudStack,"One platform — standardized, built and operated by many."
OpenOperations,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
openego,open electricity Grid optimization
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
project-angus,
DTUWindEnergy,
FUSED-Wind,
apachecn,由 iBooker 建立的公益性文档和教程翻译项目
doocs,Doocs Open Source Community.
LLNL,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
mfem,"a lightweight, general, scalable C++ library for finite element methods"
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
sundials-codes,https://computing.llnl.gov/projects/sundials
powsybl,Power System Blocks
dynawo,
diylogos,
fullstackenviormentss,
WSU-DS,Washington State University
WISDEM,The Wind-Plant Integrated System Design and Engineering Model (WISDEM (TM)) set
JuliaDiff,Differentiation Tools in Julia
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaConstraints,
JuliaEpi,Computational epidemiology in @JuliaLang.
JuliaEPFL,Community of Julia enthusiasts at École polytechnique fédérale de Lausanne
JuliaDecisionFocusedLearning,
climate-analytics,
meritisgroup,Meritis est un cabinet de conseil spécialisé en systèmes d'informations
rte-france,
powsybl,Power System Blocks
gridsuite,
ellak-monades-aristeias,Ανάπτυξη έργων ανοιχτών τεχνολογιών των  Μονάδων Αριστείας
KyFax,
iSheero-AI,A Non-profit Organization Offering Expert-led AI Advancement in Benin and Francophone Africa
Pyomo,
PyUtilib,
spotify,
UCBerkeleySETI,
ska-sa,South African Radio Astronomy Observatory
ratt-ru,
common-workflow-language,
astro-informatics,
casacore,
cyberintelframework,
kernsuite,
ULHPC,High Performance Computing @ University of Luxembourg
greeklug,Greek Association of Free Software / Open Source Software Users
CaPaD-cutting-and-packing,Software and test data continuing the CaPaD site of the Dresden University
energyscope,
Renewable-Energy-Hub-Optimizer,
FEDECOM-Project,
ovh,
ovhlabs,The OVH group labs
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
chc-ucsb,
HarvestStat,
hc2x,Hydroclimate2X Lab at the University of Manitoba
ODI-Devs,
Si-shen-GKJ,
Qinglong-GKJ,
Zhuque-GKJ,
Baih-GKJ,
Xuanw-GKJ,
God-s-Game,
CodePH-Club,
Chroma-Solutions,
ImaheGen,
SorSU-Classroom,
Imperial-Wiki,A student-led initiative at Imperial College London aimed at forming a unified institutional knowledge base. Login to our homepage for joining instructions.
BoostGSoC20,
oxfordcontrol,
energy2market,
NREL,
BioInf-Wuerzburg,"Department of Bioinformatics, University of Wuerzburg"
BioInf-Wuerzburg-teaching,
TBroTeam,
bioconda,
HackyHour,Code - Tools - Science - Help - Social
CCTB-UW,
cctb-it-wuerzburg,
AliTVTeam,
chloroExtractorTeam,
ime-tools,Tools needed for our work; Logo derived from https://openclipart.org/detail/19214/tools
ag-computational-bio,
microPIECE-team,
AnimalVenomics,
arunaengine,The Data Orchestration Engine
myunimol,La nuova applicazione per la gestione della propria carriera universitaria unimol.
stakelab,
9King-Club,
heartdancetech,"Heart or Byte, there is always one at dance."
godbus,
grid-x,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
group9ine,0100011100111001
OttoStruve,The University of Texas at Austin Department of Astronomy Organization
SPIE-hack-day-2014,A repository for the Montreal 2014 SPIE Astronomical Telescopes and Instrumentation Hack day
igrins,
BrownDwarf,Research about astrophysics with a focus on low mass stars
Echelle,Silicon diffractive optics research at the University of Texas at Austin
NSCNA,"North Shoal Creek Neighborhood Association, in Austin TX, serves the residents living in the area bounded by MoPac, Research, Burnet, and Anderson Lane."
earthobservations,
powsybl,Power System Blocks
0w1club,XJTU 0w1 Cyber Security Club
xjtuCPES,西安交大信息物理融合实验室能源优化组核心代码开发团队
CPES-EMS,
com-lab,"COM(COMmunity user modeling) Lab, 세종대학교 데이터사이언스과 학과장님의 연구실."
forus-ai,We are Open AGI
Cirice,
Pixel-Clover,
matterpoll,
r-spark,"R extensions, tools and resources for Apache Spark"
experience-experiments,Source of alumni OSS projects.
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
grossmann-group,
AntaresSimulatorTeam,
CodeandoMexico,"Fortalecemos a gobiernos, organizaciones y personas trabajando en lo público con proyectos de tecnología y datos."
CodeandoMonterrey,Comunidad de programadores enfocada al cambio social en Monterrey
tdelta,
JagsJulia,
EnergyModelsX,
sintefore,An organization for the public available software developed by the research group
dataAt,
SInApSE-INPE,Sistemas Inteligentes Aplicados ao Setor Espacial
ardc-brazil,Atmospheric Big Data and Data Science Research Group in Brazil
fortracc,ForTracc Project
labren,Laboratório de Modelagem e Estudos de Recursos Renováveis de Energia (LABREN)
ad-freiburg,Code from our various research projects and publications
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
JuliaEnergy,
LLNL,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
pytub,
IUNO-TDM,
Future-Power-Networks,An inter-university research union for theories and techonologies to support renewable power networks.
modelica,Projects of the Modelica Association
ld4mbse,
hzspeed,
ANL-CEEESA,"Argonne National Laboratory's Center for Energy, Environmental, and Economic Systems Analysis (CEEESA)"
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
IBM,
terraform-ibm-modules,A collection of curated IBM Cloud Terraform modules. Full documentation at https://github.com/terraform-ibm-modules/documentation
invenia,
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaTime,Date and Time libraries for the Julia Language
JuliaCloud,Cloud service interfaces for Julia
beacon-biosignals,
IJHack,IJhack is a hacker collective. We teach people to understand how their technology works.
mogrene,
idorosen,
NetFPGA,
irosen,
OpenFabrics,
ir2002,
graphviz4matlab,
probml,"Material to accompany my book series ""Probabilistic Machine Learning"" (Software, Data, Exercises, Figures, etc)"
bayesnet,
lz4,
NetworkConfiguration,Programs to make Network Configuration easy
f3-factory,"Less hype, more meat. Providing lightweight and fast packages."
Fair-Squares,Fair Housing for all built on substrate
OCA,The GitHub repos for all Open Source work around Odoo
ssec-jhu,Accelerating Software Development for Science Research
JH-DSAI,
nodejitsu,
nko,
tc39,"Ecma International, Technical Committee 39 - ECMAScript"
EmpireJS,
LXJS,A not-for-profit by-the-community and for-the-community international conference about the New Worlds of JavaScript.
winstonjs,A logger for just about everything
foreversd,An elegant process monitor for anything.
http-party,Who says networking can't be fun?
gatherscript,Non-profit tech events advisement
crosscompute,"Create and Share Runnable Tools Across Your Organization: Distributed Computing for Scenario Planning, Electricity Infrastructure, Hazard Mitigation"
AmericanPublicPowerAssociation,
python-organizers,
RoburDB,
CascabelUA,
FaaSForward,
OctavoLabs,
Promise-Mapping,
b3log,请大家尽快迁移仓库，江湖再见！
apachecn,由 iBooker 建立的公益性文档和教程翻译项目
datascicamp,
Programming-With-Love,🇨🇳 开源爱好者组织
BNUGW,
calliope-project,A multi-scale energy systems modelling framework
HivemindTechnologies,
CodeandoMonterrey,Comunidad de programadores enfocada al cambio social en Monterrey
ZapopanLab,"Civic innovation lab that advocates community entrepreneurship, open government and digital inclusion."
ColimaHacklab,
alturin,
synx-ai," We simplify the adoption of Artificial Intelligence, using cutting-edge technology that allows to automate processes and extract more value from their data."
ForetagInc,A collective open source group.
master-co,An ecosystem of UI
arras-energy,
BC-EESC4464-SP21,
dssg,
witch-team,
RMI-PACTA,
ERGO-Code,
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
rte-antares-rpackage,RTE ANTARES R PACKAGE
zavalab,The Scalable Systems Lab at UW-Madison
kahypar,KaHyPar (Karlsruhe Hypergraph Partitioning) is a high-quality multilevel k-way hypergraph partitioning framework.
plasmo-dev,An organization for Plasmo and related Julia packages
esma-cu,
SciTools,SciTools is a collaborative effort to produce powerful Python-based open-source tools for Earth scientists
SciTools-incubator,
facebook,We are working to build community through open source technology. NB: members must have two-factor auth.
HewlettPackard,Hewlett Packard Enterprise on github; please contact github@hpe.com for access
fossasia,Open Technologies developed in Asia and Around the Globe
EpicGames,
facebookresearch,
facebookincubator,"We work hard to contribute our work back to the web, mobile, big data, & infrastructure communities. NB: members must have two-factor auth."
facebookexternal,
pytorch,
sutd-robotics,"AGVs, and UGVs, usually with ROS, sometimes otherwise!"
aruba,
OpenSUTD,An open organisation owned by the SUTD community.
wthdevelopers,What The Hack supports open source event management.
SymMotion,SUTD Capstone 2022 - Group S35
Krypto-Hashers-Community,KHC — A collective of coders and crypto geeks building open-source tools and breaking limits.
genn-team,The GeNN Development Team
arpra-project,The Arpra Project creates tools for analyzing numerical error in floating-point software.
teamr3,
VectorInstitute,
IEEE-TMU,Student Chapter Repositories.
hackutk,"The University of Tennessee, Knoxville's resident computer security organization."
php-csas,Context-Sensitive Auto-Sanitization for PHP
volhacks,VolHacks: the University of Tennessee - Knoxville's official student-organized hackathon
VolSec,"Computer Security Research Lab at the University of Tennessee, Knoxville"
uncategorizedexpense,Solving Uncategorized Transactions one firm at a time
ivoryshoulder,
valuedeliberation-tudelft,
wedoco,
MaREI-EPMG,
SCMStandz,Single column standartisation
Energy-MAC,EMAC does research to advance decarbonization pathways for the electric grid.  Our members work and study at UC Berkeley and Lawrence Berkeley National Lab.
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
ComS342-ISU,Course content for ComS 342: Principles of Programming languages at Iowa State during Spring 2014.
SolarTherm,
anustg,A collection of some open-source code from the ANU Solar Thermal Group
powsybl,Power System Blocks
BMW-InnovationLab,"This organization contains software for realtime computer vision published by the members, partners and friends of the BMW TechOffice MUNICH and InnovationLab."
idealworks,
GlobalArrays,
ROCmSoftwarePlatform,ROCm Software Platform Repository
matex-org,
JuliaReinforcementLearning,A collection of tools for reinforcement learning research in Julia
trr266,"SFB/Transregio 266 ""Accounting for Transparency"""
Krv-Analytics,New startup passionate about using SOA machine learning research to align sustainable development goals and industry!
pywr,A collection of repositories related to the Pywr ngeneralised network resource allocation modelling library.
kimetrica,
IDAES,Institute for the Design of Advanced Energy Systems
Open-Power-System-Data,
alternaDev,
LittleRolf,
Puut,
HappyCarl,
MoinApp,
PedaAutomation,
sociallayer-im,
shanhaiwoo,
coggeshall,
CURENT,CURENT Large Scale Testbed
cocoaheads-hh,
milchundzucker,eRecruiting Solutions and Recruitment Advertising. Creator of the BeeSite Talent Management Suite.
jaleel22,
akashchan,
spine-tools,Open source modelling tools
TradeRES,
irena-flextool,
NREL,
iitis,"Institute of Theoretical and Applied Informatics, Polish Academy of Sciences"
COST-IC1405,ICT COST Action IC1405: Reversible computation - extending horizons of computing
QuantumWalks,Julia modules for quantum walks and their applications
QPoland,
euro-hpc-pl,
BiOSS-Group,"Biopolimes, Software for Simulation and Statistics "
seahorce-scidac,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
modex-flexmex,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
jump-dev,An organization for the JuMP modeling language and related repositories.
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
NumberSensei,
Project60,A collection of CiviCRM extensions that were missing for European users
HochschuleHofStundenplanapp,
foodsharing-dev,Please see gitlab for active development of foodsharing.de - https://gitlab.com/foodsharing-dev
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
coverified,We build AI-based software applications for the public sector - to make information easily accessible and searching more efficient.
arbncoltd,
OpenMDAO,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
pommes-public,POMMES - a cosmos for bottom-up linear fundamental power market modeling
radical-data,"Repurposing tech for liberation + joy ✨ We are a studio 💻, educational platform 📖 & community 🪢"
Code4HR,Civic Tech for Hampton Roads Virginia
maptime,Start here: http://github.com/maptime/
OpenRouting,
opentraildata,
paidmappers,
gilligan-ees-3310-2021,
Telecom-Robotics,
100km,
lutece-platform,Open Source Content Management Framework
lutece-secteur-public,"Applications Métiers LUTECE destinées au Secteur Public. Ne contient pas les modules standards Lutece (moteur de formulaire, ...) hébergés sur lutece-platform"
rte-france,
quintel,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
quarree100,
openCEMorg,
hermit-os,"A Rust-based, lightweight unikernel."
PowerProfile,⌨️ A usable PowerShell profile for Cloud Admins and DevSecOps.
powerframes,Expert Framework for Power Systems
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
rukzuk,simply powerful web design
kajona,
jenkinsci,Jenkins is an open source automation server with an unparalleled plugin ecosystem to support practically every tool as part of your delivery pipelines
Pyomo,
offgridlab,
kalkspace,Coworking Community in Köln-Kalk
retoflow,
SESMG,Open source energy system modeling tool developed at Münster University of Applied Sciences
Orion-Solar-Car,
enosi,"A community energy platform providing consumers with choice, transparency and efficiency."
ace-teknologi,"Quietly and slowly, then loudly and quickly working on changing the world."
Companion-energy,
IWUGERMANY,
PROTECO,Programa de Tecnología en Cómputo
UNAMMobile,El laboratorio de innovación móvil de la UNAM
rl-institut,
orkestra-energy,
ipunkt,We are closed forever.
RocHack,"A group of hackers, programmers, and entrepreneurs at the University of Rochester"
JuliaGeo,Geospatial packages for Julia
JuliaObjects,
JuliaFunctional,
websvnphp,Fork from WebSVN
OpenWaterAnalytics,
sandialabs,Exceptional service in the national interest.
Pyomo,
IDAES,Institute for the Design of Advanced Energy Systems
minerva-ml,
NREL,
sandialabs,Exceptional service in the national interest.
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
openpvtools,
AssessingSolar,
PVSC48-Clipping-loss-validation,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
HRVIP,
hcisummerproject,
EnvironmentalSystemsLab,
Frankenslot,
Urbano-io,
Eddy3D-Dev,Airflow and Microclimate Simulations for Rhino & Grasshopper
VIP-SMUR,A Vertically Integrated Project at Georgia Tech.
SustainableUrbanSystemsLab,"Decision-making tools for sustainable urban planning, design, and architecture at Georgia Tech."
KonScience,Der Wissenschaftspodcast aus Konstanz | PGP-ID: 0x76B000F1 fingerprint: A9F8 35E2 6130 BCA2 0C98 7E14 A61B 4065 76B0 00F1
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
hnei,"A department of the University of Hawaii focused on developing, testing, and evaluating novel renewable energy technologies"
pelican-plugins,
NREL,
dss-extensions,Language interfaces and extensions for an alternative implementation of EPRI's OpenDSS
EventGhost,"An advanced, yet easy-to-use extensible automation tool."
piepdx,Stuff for PIE
cc-api,Reduce the complexity of various cloud frameworks and TEE engines
TrustAgentPlatform,Build a Robust GenAI Agent Platform for Diverse Industry Applications
mhlabCodingTeam,
ViennaTools,
GTkernel,
plone,Core of the enterprise CMS Plone and related projects. For add-ons visit: https://github.com/collective
collective,Plone/Volto add-ons shared code repositories
bopen,
exanauts,An eclectic collection of ECP ExaSGD project codes
GReX-Telescope,
common-workflow-language,
pyauth,Python Web Authentication Libraries
XML-Security,"Implementations of the W3C XML Signature and ETSI XAdES standards, and their key uses such as SAML"
HumanCellAtlas,An open international collaboration to create comprehensive reference maps of all human cells
rte-france,
rte-antares-rpackage,RTE ANTARES R PACKAGE
cantbloom,
dutchconnectomelab,
freifunk-mwu,"Freifunk in Mainz, Wiesbaden & Umgebung"
freifunk-hessen,
neulandcamp,
EpicGames,
github-beta,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
ruHaskell,Русскоязычное сообщество Haskell-разработчиков
OpenGenus,[Internship 🌱] Connecting the World through knowledge | We have a role for everyone. Join our Internship program: internship.opengenus.org
artemis-project,"A swift, modern, and unified desktop environment"
DeskX11,Remote access software from a remote client to a computer. The program is aimed at the maximum speed of transfering.
FreifunkMYK,Freifunk in der Mitte von Rheinland-Pfalz
ito-org,"[project abandoned] track infections, not people."
tagspaces,Take back control of your files
freifunkMUC,
IDAES,Institute for the Design of Advanced Energy Systems
CCSI2-Toolset,
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
peckapp,Bringing social calendaring and event discovery to colleges across the country
bsci,Bronfman Science Shop at Williams College
additiveai,Giving tax professionals superpowers
bblfsh,A self-hosted server for source code parsing
figify,"On a mission to improve software for practitioners, by practitioners"
Polkadot-Blockchain-Academy,"An intensive, in-person educational program deeply exploring foundational concepts and hands-on blockchain curriculum. Built with Polkadot and Substrate tech."
Tribler,
digital-voting-pass,TU Delft Bachelor project about the digitalization of the voting pass for Dutch elections using blockchain and machine readable travel documents.
saengerschaft-borussia,
AMOS-Project-TU-Berlin-Team-2,A TU Berlin master's project about developing a navigation system capable of prodiving alternative routes on the fly.
sqe-simulation-modelling,"A TU Berlin master's project about simulating an emergency brake using EMF, OpenModelica and Papyrus"
hyperpartisan-nlp,
lightning-sprinkle,Automatic universal in-browser payments over the lightning protcoll as an alternative model to web advertising
Power-Systems-Textbook,
NHaml,
webkitdotnet,
psake,
luggages,
kalispera,Hannes & Lasse Diercks creating open source software
patternsonio,
uzh-rpg,
HULKs,"RoboCup SPL Team TU Hamburg, Germany"
JuliaPOMDP,POMDP packages for Julia
PRBonn,Photogrammetry & Robotics Lab at the University of Bonn
tud-amr,
CU-ADCL,
R2CLab,
CMU-IntentLab,Interactive and Trustworthy Robotics Lab at Carnegie Mellon University
JuliaGameTheoreticPlanning,
cor-mobile-robotics,
pachterlab,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
zoondka,DevOps and Blockchain experts!
MyTFG,MyTFG Open Source Project
PyVRP,The PyVRP project develops open-source tools to efficiently solve vehicle routing problems.
PyJobShop,
levitation-opensource,"An independent AI safety researcher. I studied psychology, have 20 years of experience in modelling natural intelligence and in designing various AI algorithms."
udw-io,
make-or-break,projects created by friends
Duke-PL-Course,
SCRFMembers,Stanford Center for Reservoir Forecasting
nabla,Build engaging relationships with your patients through our machine learning-powered care platform
k9mail,K-9 Mail – Open Source Email App for Android
c-base,Raumstation unter Berlin-Mitte
ethereum,
criticalmaps,
esPass,
survivalmanual,
berlin-hack-and-tell,Present your app/site/lib/robot/etc. in 5mins and then 5min conversation with the audience
walleth,The native Android Ethereum wallet
ethereum-lists,Curated Ethereum Lists
ethereum-magicians,
efdevcon,
ethberlin-hackathon,All things ETHBerlin 2018
goerli,An Ethereum Testnet community.
department-of-decentralization,"A collective of people from crypto, decentralization, and peer-to-peer communities."
komputing,Kotlin libraries shared between different projects - mainly in the web3 space.
tincubeth,reasonable privacy for Ethereum
ethdevberlin,the Ethereum office in Berlin
ethberlinzwei,
ChainAgnostic,The Chain Agnostic Standards Alliance coordinates development for better data systems through applied cryptography.
omyradio,
efdevconnect,
ethb3rlin,"ETHBerlin, CIC Innovation Campus, May 24-26, 2024."
ethpandaops,
ethereumeg,Organizing diversity against commercialization in Ethereum community
WalletUnCon,
blockchainweek,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
yourdpm,
MutilatedPeripherals,Based solutions for a based future
Meteroi,
OpenFPGAduino,
JavaScriptIOT,
SparkDL,
PyPSA,Python for Power System Analysis
baratito,"Comprá inteligente, comprá baratito 😎"
poly-blockchain,
spin-systems,
facet-rs,"Reflection, introspection, serialization, deserialization for Rust"
pydata,
waselucht,
GENeSYS-MOD,
django,
JuliaLang,The Julia Programming Language
google,Google ❤️ Open Source
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
djangocon,"International Django conferences held in North America, Europe, Australia, and Africa."
JuliaCon,The Julia Conference
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaML,Julia packages for Machine Learning
me50,
FluxML,The Elegant Machine Learning Stack
vault50,@CS50's lesson plans and sample solutions
JuliaClimate,
JuliaReinforcementLearning,A collection of tools for reinforcement learning research in Julia
JuliaEs,Translating Julia stuff into Spanish!
julia-vscode,The Julia extension for Visual Studio Code provides rich support for the Julia programming language
googlers,Googlers on GitHub
JuliaIntro,
JuliaLangSlack,Projects built to enable the Julia Lang community Slack workspace
JuliaGaming,Open source games built in the Julia Programming Language.
JuliaAcademy,The definitive source for learning all things Julia. Prepared by core Julia developers in collaboration with Julia Computing.
JuliaCommunity,Organizing Julia Community Initiatives
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
Julia-Streamers,The official organization for the Julia Streaming community!
CA-Beaches,
UGJL,
HarvardUniversity-FoodinSociety,
JuliaSleep,Open source tools for sleep research using Julia
Julia-Blockchain,
E-118-Spring21,
packaging-con,"A conference for Developers of package management software, software packagers, and communities."
JuliaBooks,Create books with Julia
Hugging-Face-Supporter,Thank you for helping out Hugging Face!
JuliaZoid,The best place to learn the Julia programming language.
OpenSourceForStudents,The definitive Open Source Guide for Students.
google-gemini,Get started building with the Gemini API
witch-team,
psi4,
KratosMultiphysics,
jsoxford,
ampeersenergy,Einfache & Profitable CO2-Minderung für die Immobilienwirtschaft
JuliaSurv,
KitesForFuture,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
macro-cosm,A Better Economics for a Better World.
assaultcube,
phpmaranhao,
pug-ma,Python User Group - Maranhão
sciencepub,Evento mensal de divulgação científica
Lambda-MA,Spreading the Functional Paradigm in our tiny island.
openego,open electricity Grid optimization
UNSW-CEEM,
elage,
Adaptricity,
modelica,Projects of the Modelica Association
ALSETLab,"This organization hosts projects of ALSETLab, Prof. Luigi Vanfretti's research team @ RPI"
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
kaust-merge,Mechatronics & Energy Systems Research Group
FliiteCorp,
usydtechlab,"The Techlab is a safe space at the university of Sydney to Connect, Learn and Share Technology Innovations for the classroom or research lab."
Baltic-RCC,Baltic RCC is an Electricity grid security service provider for Baltic System Operation Region (SOR)
RWTH-ACS,
lfenergyarchitecturemodel,
quintel,
Ascendos,
voltgrid,
panubo,
fastcast-io,
madiko-gitcrew,Lebens- & Arbeitswelten mit Zukunft
namespace-ee,"Software engineers from Tallinn, Estonia"
greco-project,
NTNU-IndEcol,
CIRAIG,
weaveworks,weaving containers into applications -Transitioning to a Community Driven Project
kubernetes-sigs,Org for Kubernetes SIG-related work
fluxcd,Open and extensible continuous delivery solution for Kubernetes
open-gitops,"CNCF Sandbox project for lasting programs, documents and code from the GitOps Working Group."
associmates,
e13-tech,
coppersoft-dev,Solid Software for Critical Infrastructure
iRail,Open transport data in Belgium
JuliaLang,The Julia Programming Language
JuliaGPU,GPU Computing in Julia
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaParallel,Parallel programming in Julia
JuliaComputing,
JuliaMath,Mathematics made easy in Julia
JuliaInterop,Easy interoperability between Julia and other languages
JuliaBinaryWrappers,Autogenerated Julia packages for usage with BinaryBuilder and Pkg
JuliaPerf,
JuliaTelecom,Julia packages for Telecommunications
JuliaConcurrent,
sehrings-landlaedchen,
Scilab-India,
Oscad,
tailhq,Cutting edge AI platforms for science and industry
tech4germany,We work on a more innovative government using design and technology.
Reasonance-GmbH,Making Data Reasonate
we-Travel,
e-loq,Recognizing obstacles in 3d point cloud data
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
empuxa,
raddatz-io,
eniqo-energy,
Chemios,
Skunk-Brothers,
slide-share-spot,筑波大学情報学群組み込みキャンパスOJT / 12期生 / ソフトウェアコース / Slide Share Spot チーム
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
VIDI-Projections,
CIRAIG,
PyPSA,Python for Power System Analysis
PyPSA,Python for Power System Analysis
FoxBaja,
inspermileage,Projeto acadêmico formado por alunos do Insper que tem como objetivo desenvolver um protótipo de veículo elétrico de alta eficiência energética.
CurrySoftware,
callista-software,
python-spain,Asociación Python España
docBase,
DeepKernelLabs,
FreeBSDCloudTech,FreeBSD Containers and Cloud Native Tech Projects
PortScanX,
FariSoftware,Fari Software GmbH
MAHTEP,Modeling of Advanced Heat Transfer and Energy Problems
oresat,Artisanally hand-built open source satellites from Oregon!
CIRAIG,
BugAlertDotOrg,
raysect,Raysect Development Team
cherab,
