,description
robotology-playground,"🚧 experimental, not stable and not mantained repositories that may be eventually hosted in the robotology GitHub organization 🚧"
isir,
ocra-recipes,Optimization-based Control for Robotics Applications
syroco,SYROCO Team at Institut des Systèmes Intelligents et de Robotique (ISIR)
kuka-isir,Code developed for the Kuka LWR 4+/IIWA at Institut des systèmes intelligents et de robotique
phlowers,Physics based librairies for power lines studies
AIEADA,
Flash-X,All things related to Flash-X multiphysics software
Box-Tools,Forks and helper tools for block-structured datasets
CROCUS-Urban,CROCUS Project
Lab-Notebooks,Reproducibility capsules and execution environments for computational experiments
godotengine,Godot is a popular Free and Open Source game development engine and toolset.
OpenDungeons,
KOBUGE-Games,Development team for libre games using Godot Engine
LibreGamesArchive,Read-only archive of various libre games (not maintained here). The Libre Games organisation *does* maintain projects over at GitLab
ValyriaTear,Open Source J-RPG (Based on the Hero of Allacrost engine)
KOBUGE-Incubator,"Incubator for libre games projects using Godot Engine, and archive for unmaintained @KOBUGE-Games projects"
osslugaru,Mirror of the OSS Lugaru organization on GitLab
LibreGames,Organization taking over maintenance of free/libre and open source games which have grown abandoned by their original developers (GitHub mirror)
GodotVR,Open source implementations of AR and VR drivers for the Godot Game Engine
NixOS,
emacs-twist,Reproducible package and configuration management for Emacs
elpa-mirrors,An unofficial public mirror of Emacs-related repositories (GNU/non-GNU ELPA and org-mode) on GNU Savannah
cvxgrp,
erasmus-mundus-geotech-master,"Students, professors and graduates of the Erasmus Mundus Master of Science in Geospatial Technologies."
palma-ice,
Human-Lambdas,
treebeardtech,Scaling machine learning operations in Kubernetes
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
3dptv,
OpenPIV,Open Source Particle Image Velocimetry
choochoohq,ChooChoo HQ
unamfi,Open Source Community : 🚀
Switch-Mexico,
NREL,
mit,"For students/alumni/staff/MIT affiliates! To join, email with GitHub+Athena usernames."
JuliaLabs,
project-lovelace,"Project lovelace development repositories, including website/server/backend code and submission engine development."
JuliaClimate,
CliMA,"An alliance of scientists, engineers and applied mathematicians, dedicated to pioneering a new, data-informed approach to climate modeling"
MoeMusic,
atdepth,
AUT-NLP,Natural Language Processing (NLP) Lab is part of the Artificial Intelligence Group at Computer Engineering Department at Amirkabir University of Technology.
redcar,
gocql,A fast and robust Cassandra client for the Go programming language.
Ingenieria-Electrica-UdeA,
citiususc,Centro Singular de Investigación en Tecnoloxías Intelixenteas da Universidade de Santiago de Compostela
magnasco,Development initiatives & technical assistance
battle-io,
zerotired,
crate,The Database for Real-Time Analytics and Hybrid Search
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
hiveeyes,"A flexible beehive monitoring system based on affordable hardware, wireless telemetry and modern software. Open source, open hardware and a friendly community."
ip-tools,Open source patent data processing software
daq-tools,"Open source data acquisition, processing and visualization software"
tunfish,A VPN infrastructure based on WireGuard.
posterkit,Your lovely poster production toolkit
media-toolbox,
panodata,"Open data, beautiful visualizations, sensible discussions."
earthobservations,
cicerops,Little programs for sweet operations.
mqtt-tools,
wireviz,
pyveci,"Python, mostly."
singer-contrib,A few components adhering to the Singer specification for composable open source ETL.
tech-writing,"Discourse, GitHub, Sphinx, mostly."
switch-model,Optimal planning model for power systems with large shares of renewable energy
blue-marble,
evcc-io,Sonne tanken ☀️🚗
rlai-lab,
HammerLabML,Machine Learning Group led by Prof. Barbara Hammer at Bielefeld University
WaterFutures,Repository for the ERC SyG Water Futures Team
rubygems,
bundler,The Ruby language dependency manager
typhoeus,
embark-framework, Moved to http://github.com/embarklabs
IDAES,Institute for the Design of Advanced Energy Systems
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
soreva,
sgs-weather-and-environmental-systems,
irasus-technologies,
gymneus,
tonbo-imaging,
confluentinc,Real-time streams powered by Apache Kafka®
powsybl,Power System Blocks
phlowers,Physics based librairies for power lines studies
hilbertquantum,"At Hilbert Quantum, we research AI, Quantum, and Mathematics."
QuTLab,Quantum |Theoretical⟩ ⨂ |Tolerant⟩ ⨂ ∣Topological⟩ Lab
airboxlab,
FormTracer,
ampeersenergy,Einfache & Profitable CO2-Minderung für die Immobilienwirtschaft
JuliaEnergy,
Shopify,
flipdot,"CCC-Erfa, Hackspace"
apertus-open-source-cinema, Open Technology for Professional Film Production
Jugendhackt,
freifunkks,
SFNKassel,
EspIt,
soundlocate,
ipv4map,
icerink,An FPGA ecosystem for absolute newbies
axiom-micro,"Deprecated, integrated with https://github.com/apertus-open-source-cinema"
bugbakery,building software for spoken-word audio with automatic transcription
transcribee,"transcribee moved under the umbrella of ""The Vegan Bug Bakery"""
Makerville,
pik-piam,Tools developed for use with data and models related to PIK's research.
bitcoinaustria,
novid20org,
SPS-L,
XGraph-Team,Research Behaviors over Graphs
DLR-RM,German Aerospace Center (DLR) - Institute of Robotics and Mechatronics (RM) - open source projects
Stable-Baselines-Team,Developement team of the Stable-Baselines project
JuliaLang,The Julia Programming Language
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaDSP,
JuliaCon,The Julia Conference
JuliaDiff,Differentiation Tools in Julia
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaWeb,Web technologies in the Julia Programming Language
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaAttic,An umbrella organization for unmaintained/fully deprecated Julia packages/repositories
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaEditorSupport,This organization hosts julia extensions for various text editors and IDEs
JuliaDocs,Documentation-related packages for Julia.
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaInterop,Easy interoperability between Julia and other languages
JuliaMatrices,
JuliaCloud,Cloud service interfaces for Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaPy,Software that connects the Julia and Python languages.
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
JuliaRegistries,
JuliaStrings,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
beacon-biosignals,
JuliaAI,Home for repositories of the MLJ (Machine Learning in Julia) project
4-geeks,"We are 4 Geeks. We love AI, python and technology."
Pandas-Team,
OM4A-Training-Material,"This platform hosts the training materials for the use of the OM4A Models Toolbox, developed under Horizon Europe Energy project 101118123 – OpenMod4Africa."
BikunApp,
fwui,
IEEE-UI,
alpyca,
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
seahorce-scidac,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
astropy,
python-madrid,
python-spain,Asociación Python España
Pybonacci,Python y Ciencia
AeroPython,
CAChemE,CAChemE is a nonprofit organization of chemical engineers aiming to encourage the new process engineering software possibilities
OpenAstronomy,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
poliastro,Astrodynamics in Python
python-astrodynamics,
PyDataMadrid,"Nos reunimos el tercer o cuarto jueves de cada mes para hablar de Python, Datos, Visualización, Inteligencia Artificial, ¡y lo que surja!"
Mercado-Social-de-Madrid,
PyCampES,"El PyCamp es un evento sin fines de lucro que consiste en apoderarse de un lugar, nos juntamos a programar y divertirnos durante 4 días completos."
McK-Private,
python-discord-es,Comunidad de Python en Español en Discord
kedro-org,"Kedro is an open-source Python framework for creating reproducible, maintainable and modular data science code. It is hosted in incubation in LF AI & Data."
yt-project,A toolkit for analysis and visualization of volumetric data
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX
seahorce-scidac,
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
RoboticsTeam4904,"FRC Team 4904 ""Bot Provoking"""
powsybl,Power System Blocks
15-150,
15-317,Carnegie Mellon's 15-317: Constructive Logic
SolarArbiter,
ComputationalRadiationPhysics,
pngwriter,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
openPMD,Open Standard for Particle-Mesh Data
eucall-software,EUCALL will build bridges between major laser and X-ray research centres
fbpic,"A spectral, quasi-3D Particle-In-Cell code, for CPU and GPU "
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
gcoe-dresden,GPU Center of Excellence Dresden
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX
MPILander,
picmi-standard,
ideas-productivity,Software productivity and sustainability for computational science and engineering on high-performance computers
alpaka-group,Abstraction Library for Parallel Kernel Acceleration
Hi-PACE,
GEECS-BELLA,
snowmass-compf2-accbeammodel,Interest group in Theoretical Calculations and Simulation (CompF2) of the APS DPF Snowmass21 process
campa-consortium,Collaboration for Advanced Modeling of Particle Accelerators
LASY-org,
hpsfoundation,High Performance Software Foundation
BLAST-ImpactX,high-performance modeling of beam dynamics in particle accelerators with collective effects
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
BLAST-codes,"Beam, Plasma & Accelerator Simulation Toolkit (BLAST)"
uo-cdux,Computing and Data Understanding at eXtreme Scale (CDUX)
PythonMilano,Developers and Beyond in Milan
gafusion,Theory group code repository
LLNL,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
sundials-codes,https://computing.llnl.gov/projects/sundials
genesisproject,
pokerevs,
glitch-soc,
dbwg,
rustodon,
hecke-rs,
sparkle-os,
gcnhax,
delta-7,
miskitml,Constructed Intelligence
rust-native-ui,"A group for the libui-rs, Improved User Interface, and other Rust native UI crates."
shinyblink,"Shiny things and blinkenlights! Icon by twitter.com/rakujira, many thanks!"
frama19,
dipko-gmbh,DIPKO – Digitale Plattform für kommunale Services
heroku,
Metalab,"Metalab is a hackspace in Vienna, Austria — an open center for people who do creative things with technology."
hackerbeach,
rails-girls-summer-of-code,
farbsucht,
interagent,Tools and docs for building and using HTTP APIs
rossconf, ROSS conft aims to convince more people to contribute to the open source projects on top of which the Ruby developer community builds.
LedOverkill,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
openstate,Open State Foundation promotes digital transparency by unlocking open data and stimulates development of innovative & creative applications
karmaresearch,KARMA is a research unit in the computer science dept. at the Vrije Universiteit of Amsterdam
kai-vu,
NixOS,
AsteroidOS,Open-source operating system for smartwatches
epri-dev,
gnome-design-team,
opensourcedesign,Connecting open source & design! 🎨 Join our forum at https://discourse.opensourcedesign.net
unibz,
nextcloud,"📱☁️💻 A safe home for all your data – community-driven, free & open source 👏"
terion-io,
Geodan,
strivewire,
sipgate,"sipgate isn’t your typical telephony provider. With 300 colleagues, we work together on extraordinary landline and telephony services just for you."
bytebus,
eager-dev,Developers of the EAGERx project
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
open-fred,open Feed-in time series based on a Renewable Energy Database
diselab,Distributed Systems Engineering Lab
GlobalArrays,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaPolyhedra,Polyhedral Computation in Julia
JuliaAlgebra,Numerical Algebra
JuliaReach,Reachability Computations for Dynamical Systems in Julia
JuliaStochOpt,Stochastic Optimization in Julia
jump-dev,An organization for the JuMP modeling language and related repositories.
climatescape,Mapping the global landscape of climate-saving organizations and resources
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
switch-model,Optimal planning model for power systems with large shares of renewable energy
OCM-Lab-PUC,"Research group at the Electrical Engineering Department, School of Engineering, Pontificia Universidad Católica de Chile."
kubeflow,"Kubeflow is an open, community driven project to make it easy to deploy and manage an ML stack on Kubernetes"
plurigrid,building for a more agentic mesoscale 🦆
nycdatasci,Become a Data Scientist
hoodiehq,"Very Fast Web Development — Friendly, Offline-First Backend for your apps"
nodeschool,Open source workshops that teach web software skills
conc-at,The web development conference in Austria
semantic-release,
greenkeeperio,"🌴 Your software, up to date, all the time."
rails,
slash-lang,
terraform-industries,Automating on-site construction with robotics and software.
statnett,Norway's electricity transmission system operator
BrainBuilders,plug 'n play intelligence
calliope-project,A multi-scale energy systems modelling framework
calliope-project,A multi-scale energy systems modelling framework
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
bigoldn,
cvxgrp,
oxfordcontrol,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
NREL,
LLNL,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
postech-dao,the POSTECH Decentralized Autonomous Organization
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
rl-institut,
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
Funny-OpenSource-Projects,We write code just for fun
TAMUparametric,The Pistikopoulos Research Group at Texas A&M University
powsybl,Power System Blocks
Cog-Creators,
tamuctf,
Avalice,Various Freedom Planet-related things. Not formally associated with @GalaxyTrail or its employees.
trusthsbremen,
tengen-io,
pygod-team,Maintaining A Python Library for Graph Outlier Detection (Anomaly Detection)
microformats,
indieweb,"The IndieWeb is a people-focused alternative to the ""corporate web""."
hwclondon,"Homebrew Website Club, London Europe"
autodistill,"Use big, slow foundation vision models to train smaller, faster models."
Pyomo,
Echelle,Silicon diffractive optics research at the University of Texas at Austin
arch4edu,Making your Archlinux better for researching and developing
cppmexico,Comunidad mexicana de C++
JuliaLang,The Julia Programming Language
JuliaCon,The Julia Conference
JuliaGPU,GPU Computing in Julia
PhysikOnline-FFM,"The PhysikOnline eLearning team at Institute for theoretical Physics, Goethe University Frankfurt. Existed 2010-2020. RIP."
openjournals,"Open Journals is a collection of open source, open access journals"
JuliaParallel,Parallel programming in Julia
UniversityofCologne,
JuliaPhysics,Physics in Julia
JuliaRegistries,
JuliaHPC,High-Performance Computing in Julia
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaPerf,
JuliaFolds2," JuliaFolds2 is the forked successor to JuliaFolds, and hosts Julia packages for sequential and parallel fold (aka reduce) algorithms"
sealuzh,
HASEL-UZH,
PowerGrids,
indieweb,"The IndieWeb is a people-focused alternative to the ""corporate web""."
sternSargentRA,
EconForge,
QuantEcon,Open source code for quantitative economic modeling
NYUEcon,
NYUDataBootcamp,
ai4energy,数智能源研究组
lanl,
MiniZinc,MiniZinc is a free and open-source constraint modeling language
discreteoptimization,Open Source Materials for Discrete Optimization on Coursera
ieee-pes-amps,Analytical Methods for Power Systems Technical Committee (AMPS) of the IEEE Power and Energy Society
lanl-ansi,Los Alamos Advanced Network Science Initiative
power-grid-lib,
Veebor,
rust-scraper,
Tivix,
uos3,University of Southampton Small Satellite Project
SEUEEARDUINO,
zaphiro-technologies,The leading Swiss deep tech company in Smart Grid solutions
CrivelliLab,Repository for projects conducted by interns at Lawrence Berkeley National Lab under the mentoring of Dr. Silvia Crivelli
thunder,
BurdaMagazinOrg,
plotly,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
RelationalAI,
CodeLabs-Hubble-gl,
rubyireland,
building-envelope-data,buildingenvelopedata.org offers you access to a network of databases with building envelope data
SESMG,Open source energy system modeling tool developed at Münster University of Applied Sciences
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
GridMod,
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
collective,Plone/Volto add-ons shared code repositories
iwlearn,IW:LEARN is the Global Environment Facility's (GEF) International Waters Learning Exchange and Resource Network.
jazzband,We are all part of this
gridsuite,
electify-eu,
spine-tools,Open source modelling tools
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
venmurasu,
OcelotProject,
PoutineAndRosti,
brightway-lca,Open source framework for Brightway framework
KAPSARC,
techhub-community,"At TechHub, we've developed a huge community around solving programming challenges, building exciting real-world projects in every stack, and daily discussions."
speedovation,"Open source, from Speedovation with love"
samitsol,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
powsybl,Power System Blocks
orrors,
jupyter,Interactive Computing
jupyterhub,Official JupyterHub-related repositories
jupyterlab,JupyterLab: The Next Generation UI for Project Jupyter
pangeo-data,A community effort for big data geoscience
neurohackademy,
ThoriumEnergyWorld,
learning-2-learn,
hack-for-sweden,Sweden's new platform for citizen-driven innovation
digineo,
FreifunkBremen,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
PyPSA,Python for Power System Analysis
Seg-Faults,Tectonics-related web application development
GEM-Active-Faults,"Global Active Faults project of the Global Earthquake Model (GEM) Foundation, headed by Richard Styron"
arya-upm,
automacoin,To whoever computes for science the world is revealed
cscale-io,
UBCEnvision,The UBC AIChE Student Chapter
thebiofoundry,
Gnucash,
libofx,
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
Bulebots,
sanyuankexie,GUET Student Association of Science and Technical
psygrammer,
reinforcement-learning-kr,
geultto,
betastarcraft,
kpmg-ppap,
BNM2h,
TUBerlin-project,
mutQoin,mutQoin team @Qiskit Hackaton KR
Effithon-Project,
CS285-KOR,
CS224W-KOR,
TINYML-KOR,
BeyondStepsRL,Beyond Steps RL
pvlib,
SolarPerformanceInsight,
chenxu2024,
entropyparadox,
Jugendhackt,
Chaostreff-Potsdam,
opensound-org,
hiqs-gmbh,Your partner for the digital transformation.
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
SmartGridLab,
GWLAB2015-summer-campus,Gridwiz campus
ITsysCOM,
materialsproject,
IDAES,Institute for the Design of Advanced Energy Systems
IBM,
railsgirls,
natura-cosmeticos,
fablabjoinville,Repositório de código da Associação Fab Lab Joinville
data-science-joinville,Data Science Joinville Community.
TODXS,
python-joinville,Python Joinville
ruby-joinville,Comunidade Ruby de Joinville
icei-pucminas,Instituto de Ciências Exatas e Informática
NEAR-Portuguese-Community,Comunidade falante português do protocolo NEAR!
KappaSigmaMu,Kappa Sigma Mu is a membership club using the Substrate Society pallet.
baiomaps,O primeiro site completo de consulta a cadastros de imóveis rurais no Brasil.
soprodecarnaval,
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
iiasa,International Institute for Applied Systems Analysis
IAMconsortium,
openENTRANCE,"openENTRANCE develops an open, transparent & integrated modelling platform for low-carbon transition pathways in Europe, funded by the EU Horizon 2020 programme"
graphdesigngroup,An academic group to discuss issues of graph design problems.
ncsa,National Center for Supercomputing Applications
applicationskeleton,
Parsl,"Parsl: Enabling easy parallelism on clusters, clouds and supercomputers."
iris-hep,Institute for Research and Innovation in Software for High Energy Physics
scailfin,Scalable CyberInfrastructure for Artificial Intelligence and Likelihood Free Inference
researchsoft,
funcx-faas,funcX: High Performance Function Serving for Science
illinois-ceesd,
bbThemis,
rse-council,The International Council of RSE Associations provides a formal open forum for established national and multinational RSE associations to talk and collaborate.
EASYRES,EASY-RES is a Horizon 2020 project devoted to improve EU energy security by allowing very high penetration (up to 100%) of renewables in the grid.
llir,Unofficial libraries for interacting with LLVM IR.
racket-tw,Promote Racket in Taiwan
WasmEdge,"A cloud native WebAssembly runtime. A secure, lightweight, portable and high-performance alternative to Linux containers."
dannypsnl-fork,
anaconda,Anaconda Data Science - please see https://github.com/ContinuumIO for our open-source repositories
ContinuumIO,"Advanced data processing, analysis, and visualization tools for Python & R."
tremor-rs,The Tremor Project
JuliaPlots,Data visualization in Julia
pypsa-meets-earth,An open source energy system model initiative for our Earth
SPSUnipi,
gisce,IT for Energy utilities
CLIMADA-project,Research group at ETH Zurich
radiant,
repoforge,
acep-uaf,ACEP is based at University of Alaska Fairbanks and is dedicated to applied energy research and testing focused on lowering the cost of energy.
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
eudoxys,"Electricity load data, analytics, forecasting, modeling, and simulation"
arras-energy,
gridlabd-tutorials,Tutorials to guide newcomers to GridLAB-D on the use of Arras Energy as a simulation tool in GitHub.
likestream,
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
jazzband,We are all part of this
ttygroup,"A community for Textual creators making tools, widgets, and reusable UI components"
fossasia,Open Technologies developed in Asia and Around the Globe
matlab2tikz,
nvi-inc,
bitwyre,Climbing the engineering curve. Lowering the latency. The bleeding edge of financial technology.
mila-iqia,Quebec Artificial Intelligence Institute
deeptechlabs,@dendisuhubdy's private investments
grokvideo,
darkpools,Matching with minimum liquidity impact
SEAMS-Project,
civic-interconnect,
wikimedia,Wikimedia is a global movement whose mission is to bring free educational content to the world.
collective,Plone/Volto add-ons shared code repositories
opensourcedesign,Connecting open source & design! 🎨 Join our forum at https://discourse.opensourcedesign.net
archlinux,
fossasia,Open Technologies developed in Asia and Around the Globe
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
dwyl,Start here: https://github.com/dwyl/start-here
mozillamexico,Mozilla México
wearehx,
cyclejs-community,Cycle.js community contributions
OSWeekends,Open Source Weekends is a tech community in Madrid. We meet up one weekend each month to create and talk about open source.
sysarmymx,
devs-who-sail,a community for software developers that love sailing
archlinuxmx,Comunidad de Arch Linux México
da-edra,"This is my old GitHub profile, my new nickname is 'denisse-dev'"
LibrePhotos,
QSCTech,一入潮门，终生潮人
sahana,
fossasia,Open Technologies developed in Asia and Around the Globe
OpenMined,
gsoc-cn,Summer of Code SIG 编程之夏兴趣组（中国）
PremiLab-XJTLU,Pattern Recognition and Machine Intelligence Laboratory
xjtlu-lug,Lɪɴᴜx Usᴇʀ Gʀᴏᴜᴘ @XJTLU
cse208-foxtrot,
mercurius-hackathon,
servicemesher,Service Mesh Community
Acappella-dream,
xjtlu-hackathon,
HyperLedgerChain,Hyperledger Chain
ntu-aiot,Artificial Intelligence of Things (AIoT)
cloudnativeto,云原生社区（中国）
aegis-readers,
HMUniversity,Mendacium plana sit vera scientia.
wenshu-tech,
WecoAI,
recursecenter,
GeoDaCenter,"A joint initiative of the Division of Social Sciences and the Computation Institute, the Center for Spatial Data Science (CSDS) develops state-of-the-art method"
turquoisehealth,
Python-Devs-Brasil,Repositório do grupo Python Brasil com o propósito de criar projetos open-source.
Brutalab,
skilld-labs,Skilld is an open-source community for IT services.
pianity,Make Music Matter
launchrctl,
cloud-ctl,
perplex-labs,
cocologics,
modelica,Projects of the Modelica Association
modelica-3rdparty,
impact,A Modelica package manager
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
EnergyBazaar,Decentralised Energy Trade for Emerging Countries
PNNL-CompBio,"This site is for repositories for computational biology work performed at the Pacific Northwest National Laboratory, a Department of Energy National Laboratory."
thisismetis,
ahab-io,
atcomputing,The AT Computing Open Source Repositories
zavalab,The Scalable Systems Lab at UW-Madison
planet-os,
gollum,
UtrechtUniversity,The central place for managing code and software for Utrecht University researchers and employees
grackorg,
jmp-app,User and event management software
plapadoo,
GENeSYS-MOD,
switch-model,Optimal planning model for power systems with large shares of renewable energy
geigercrowd,
projectivetech,
WebEngDUS,Web Engineering Meetup Düsseldorf
jdevlabs,"A group of students, hacking out stuff."
Immediate-Mode-UI,"We review all PRs before merging. We require backwards compatibility of nuklear.h (unlike of backends/demos/examples), but we also like major version bumps."
cypht-org,Lightweight Open Source webmail written in PHP and JavaScript
pynucastro,a python library for nuclear astrophysics
starkiller-astro,
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
Flash-Star,Collection of scripts and analysis code useful for igniting MESA models in FLASH to study stellar explosions.
opennem,"Formerly OpenNEM, Open Electricity aims to make the wealth of public energy data more accessible"
Open-ISP,An accessible and transparent electricity system model based on the Australian Energy Market Operator’s ‘Integrated System Plan’
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
OParl,Offener Standard zum maschinenlesbaren Zugriff auf Ratsinformationssysteme
wurstmineberg,"whitelisted, highly customized but vanilla Minecraft server"
BuergerbautStadt,
codeforberlin,OK Lab Berlin
osm-mx,OpenStreetMap es un mapa gratuito y editable del mundo entero que es construido por voluntarios y lanzado con una licencia de contenido abierto.
LimeProject,
Electril-Power-System-Tools,"Open source, free tools for Electric Power Systems. Design, analysis, simulation, study."
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
Gregor-Mendel-Institute,
nuflang,
bitdances,
ICESAT-2HackWeek,
mit,"For students/alumni/staff/MIT affiliates! To join, email with GitHub+Athena usernames."
EnergyTransition,
montefiore-ms,"Our research concerns the modeling, analysis, optimal design and control of electric power and energy systems."
crs-org,On the edge of research in automatic speech recognition for telephony.
tulp,
pypsa-meets-earth,An open source energy system model initiative for our Earth
orelyx,climate policy analysis; open-source development of analysis datasets and tools
github,How people build software.
microsoft,Open source projects and samples from Microsoft
team529nl,
arrobalytics,FinTech | Accounting | Software Development
serlo,"We build technology to provide high quality education for free, all open source and without any ads."
edtr-io,"We build Edtr.io, a WYSIWYG in-line web editor written in React"
goodmap,Repositories have been moved to https://github.com/future-coop/
JuliaGeometry,Computational Geometry with Julia
JuliaML,Julia packages for Machine Learning
JuliaEarth,Fostering geospatial data science and geostatistical modeling in Earth sciences
DeltaE,ΔE+ (Delta-E-plus) explores the synergies and trade-offs at the nexus of energy+ to support effective policy development.
sbhackerspace,
noisebridge,
noisetor,
thecloakproject,
securepollingsystem,
cryptag,"End-to-end encrypted, censorship-resistant, privacy-enhancing apps for activists, journalists, and you"
cpunkswritecode,SF Bay Area Meetup group galvanizing developers & designers everywhere to contribute to open source software that protects human privacy
EffectiveAF,"Fun, simple, empowering task management software for activists and human rights organizations"
vlang,"Simple, fast, safe, compiled language for developing maintainable software"
SpringACT,Our vision is to empower people to take action through innovative technologies to help eliminate social injustices anywhere in the world.
AutonomousUnited,
korlibs,KorGE Game Engine & Korlibs Kotlin Multiplatform Libraries
InterImm,Interplanetary Immigration as a service; Building IT services for our space-faring civilization; 一家从事星际移民的机构。
NeuPhysics,Neutrino Physics Research
neuronstar,
uupers,数据分析与可视化团队
datumorphism,
DataHerb,Get datasets in a blink of an eye | Experimenting with simple modular small dataset discovery
kausalflow,We automate scientific research
pry,Pry is a powerful runtime developer console and IRB alternative for Ruby.
fohr,
JamboTechUFPB,
telecomcraft,"Telecommunications engineering and automation tools and home lab learning content on networks, servers, security, and fiber optics."
democrobot,"Purpose-built software designed for supporting grassroot efforts to pass pro-democracy, anti-corruption laws everywhere, for everyone."
eigenmo-de,
EnergyModelsX,
AOS573-2017,This is a nexus of Computational Methods in Atmospheric and Oceanic Sciences.
UW-AOS,
KitchenTableCoders,
recursecenter,
alumNY,This is an older github org we used to use for hackNY stuff. We now use github.com/hackny.
numenta,Biologically inspired machine intelligence
rapidsms,
unicef,
unicefuganda,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
EnergyTransition,
apple,
swift-server,
networkit,
worlddevelopment,Towards an epic world.
HAMAG-honey-gem,
ripl,Robot Intelligence through Perception Laboratory
