,description
4-geeks,"We are 4 Geeks. We love AI, python and technology."
Pandas-Team,
OM4A-Training-Material,"This platform hosts the training materials for the use of the OM4A Models Toolbox, developed under Horizon Europe Energy project 101118123 – OpenMod4Africa."
BikunApp,
fwui,
IEEE-UI,
alpyca,
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
seahorce-scidac,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
astropy,
python-madrid,
python-spain,Asociación Python España
Pybonacci,Python y Ciencia
AeroPython,
CAChemE,CAChemE is a nonprofit organization of chemical engineers aiming to encourage the new process engineering software possibilities
OpenAstronomy,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
poliastro,Astrodynamics in Python
python-astrodynamics,
PyDataMadrid,"Nos reunimos el tercer o cuarto jueves de cada mes para hablar de Python, Datos, Visualización, Inteligencia Artificial, ¡y lo que surja!"
Mercado-Social-de-Madrid,
PyCampES,"El PyCamp es un evento sin fines de lucro que consiste en apoderarse de un lugar, nos juntamos a programar y divertirnos durante 4 días completos."
python-discord-es,Comunidad de Python en Español en Discord
groupoasys,
yt-project,A toolkit for analysis and visualization of volumetric data
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX and https://github.com/BLAST-ImpactX
seahorce-scidac,
BLAST-ImpactX,high-performance modeling of beam dynamics in particle accelerators with collective effects
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
powsybl,Power System Blocks
SolarArbiter,
ComputationalRadiationPhysics,
pngwriter,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
openPMD,Open Standard for Particle-Mesh Data
eucall-software,EUCALL will build bridges between major laser and X-ray research centres
fbpic,"A spectral, quasi-3D Particle-In-Cell code, for CPU and GPU"
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
gcoe-dresden,GPU Center of Excellence Dresden
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX and https://github.com/BLAST-ImpactX
MPILander,
picmi-standard,
ideas-productivity,Software productivity and sustainability for computational science and engineering on high-performance computers
alpaka-group,Abstraction Library for Parallel Kernel Acceleration
Hi-PACE,
GEECS-BELLA,
snowmass-compf2-accbeammodel,Interest group in Theoretical Calculations and Simulation (CompF2) of the APS DPF Snowmass21 process
campa-consortium,Collaboration for Advanced Modeling of Particle Accelerators
LASY-org,
isav-workshop,
hpsfoundation,High Performance Software Foundation
BLAST-ImpactX,high-performance modeling of beam dynamics in particle accelerators with collective effects
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
BLAST-codes,"Beam, Plasma & Accelerator Simulation Toolkit (BLAST)"
10TeV-wakefield-collider,
BLAST-AI-ML,AI/ML initiatives using the BLAST ecosystem (Beam pLasma & Accelerator Simulation Toolkit)
pals-project,An effort to create a standard to promote lattice information exchange for particle accelerators.
uo-cdux,Computing and Data Understanding at eXtreme Scale (CDUX)
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
gafusion,Theory group code repository
llnl,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
sundials-codes,https://computing.llnl.gov/projects/sundials
coolfluid,
shinyblink,"Shiny things and blinkenlights! Icon by twitter.com/rakujira, many thanks!"
frama19,
dipko-gmbh,DIPKO – Digitale Plattform für kommunale Services
heroku,
Metalab,"Metalab is a hackspace in Vienna, Austria — an open center for people who do creative things with technology."
hackerbeach,
rails-girls-summer-of-code,
farbsucht,
interagent,Tools and docs for building and using HTTP APIs
rossconf,ROSS conft aims to convince more people to contribute to the open source projects on top of which the Ruby developer community builds.
LedOverkill,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
RoseauTechnologies,
NixOS,
opensourcedesign,Connecting open source & design! 🎨 Join our forum at https://discourse.opensourcedesign.net
modelica,Projects of the Modelica Association
sipgate,"sipgate isn’t your typical telephony provider. With 300 colleagues, we work together on extraordinary landline and telephony services just for you."
bytebus,
eager-dev,Developers of the EAGERx project
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
open-fred,open Feed-in time series based on a Renewable Energy Database
GlobalArrays,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaPolyhedra,Polyhedral Computation in Julia
JuliaAlgebra,Numerical Algebra
JuliaReach,Reachability Computations for Dynamical Systems in Julia
JuliaStochOpt,Stochastic Optimization in Julia
jump-dev,An organization for the JuMP modeling language and related repositories.
Pyomo,
IDAES,Institute for the Design of Advanced Energy Systems
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
switch-model,Optimal planning model for power systems with large shares of renewable energy
kubeflow,"Kubeflow is an open, community driven project to make it easy to deploy and manage an ML stack on Kubernetes"
plurigrid,building for a more agentic mesoscale 🦆
hoodiehq,"Very Fast Web Development — Friendly, Offline-First Backend for your apps"
nodeschool,Open source workshops that teach web software skills
conc-at,The web development conference in Austria
semantic-release,
greenkeeperio,"🌴 Your software, up to date, all the time."
NixOS,
BrainBuilders,plug 'n play intelligence
calliope-project,A multi-scale energy systems modelling framework
calliope-project,A multi-scale energy systems modelling framework
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
cvxgrp,
oxfordcontrol,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
NatLabRockies,
llnl,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
iiasa,International Institute for Applied Systems Analysis
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
rl-institut,
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
TAMUparametric,The Pistikopoulos Research Group at Texas A&M University
powsybl,Power System Blocks
Cog-Creators,
tamuctf,
Avalice,Various Freedom Planet-related things. Not formally associated with @GalaxyTrail or its employees.
tengen-io,
open-pucs,
Pyomo,
Echelle,Silicon diffractive optics research at the University of Texas at Austin
JuliaLang,The Julia Programming Language
JuliaCon,The Julia Conference
JuliaGPU,GPU Computing in Julia
PhysikOnline-FFM,"The PhysikOnline eLearning team at Institute for theoretical Physics, Goethe University Frankfurt. Existed 2010-2020. RIP."
openjournals,"Open Journals is a collection of open source, open access journals"
JuliaParallel,Parallel programming in Julia
UniversityofCologne,
JuliaPhysics,Physics in Julia
JuliaRegistries,
JuliaHPC,High-Performance Computing in Julia
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaPerf,
JuliaFolds2,"JuliaFolds2 is the forked successor to JuliaFolds, and hosts Julia packages for sequential and parallel fold (aka reduce) algorithms"
PowerGrids,
IBM,Open Source @ IBM
docling-project,
sternSargentRA,
EconForge,
QuantEcon,Open source code for quantitative economic modeling
NYUEcon,
NYUDataBootcamp,
ai4energy,数智能源研究组
lanl,
MiniZinc,MiniZinc is a free and open-source constraint modeling language
discreteoptimization,Open Source Materials for Discrete Optimization on Coursera
ieee-pes-amps,Analytical Methods for Power Systems Technical Committee (AMPS) of the IEEE Power and Energy Society
lanl-ansi,Los Alamos Advanced Network Science Initiative
power-grid-lib,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
SEUEEARDUINO,
zaphiro-technologies,The leading Swiss deep tech company in Smart Grid solutions
thunder,
BurdaMagazinOrg,
plotly,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
RelationalAI,
SESMG,Open source energy system modeling tool developed at Münster University of Applied Sciences
rl-institut,
OpenEnergyPlatform,The Open Energy Family and Open Energy Platform
open-modex,Model experiments of 5 open-source frameworks.
NFDI4Energy,National Research Data Infrastructure for the Interdisciplinary Energy System Research
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
pism,"An open source, parallel, high-resolution ice sheet model"
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
IIT-EnergySystemModels,Analysis and design of regulatory policies for the energy transition evaluated using decision-support models and in the technical and economic analysis of gene
GridMod,
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
collective,Plone/Volto add-ons shared code repositories
iwlearn,IW:LEARN is the Global Environment Facility's (GEF) International Waters Learning Exchange and Resource Network.
jazzband,We are all part of this
spine-tools,Open source modelling tools
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
sandialabs,Exceptional service in the national interest.
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇"
KAPSARC,
speedovation,"Open source, from Speedovation with love"
samitsol,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
powsybl,Power System Blocks
jupyter,Interactive Computing
jupyterhub,Official JupyterHub-related repositories
jupyterlab,JupyterLab: The Next Generation UI for Project Jupyter
pangeo-data,A community effort for big data geoscience
neurohackademy,
ThoriumEnergyWorld,
learning-2-learn,
hack-for-sweden,Sweden's new platform for citizen-driven innovation
digineo,
FreifunkBremen,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
PyPSA,Python for Power System Analysis
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
coverallsapp,DELIVER BETTER CODE
mornedhels,
TuringLang,Bayesian inference with probabilistic programming
powsybl,Power System Blocks
automacoin,To whoever computes for science the world is revealed
cscale-io,
Gnucash,
libofx,
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
Bulebots,
psygrammer,
reinforcement-learning-kr,
geultto,
betastarcraft,
kpmg-ppap,
BNM2h,
TUBerlin-project,
mutQoin,mutQoin team @Qiskit Hackaton KR
Effithon-Project,
CS285-KOR,
CS224W-KOR,
TINYML-KOR,
BeyondStepsRL,Beyond Steps RL
pvlib,
SolarPerformanceInsight,
Jugendhackt,
Chaostreff-Potsdam,
hiqs-gmbh,Your partner for the digital transformation.
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
ITsysCOM,
materialsproject,
IDAES,Institute for the Design of Advanced Energy Systems
roboterclubaachen,We build awesome robots for the Eurobot competition.
RIOT-OS,The friendly Operating System for the Internet of Things
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
enlyze,The enlyze company account
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
IBM,Open Source @ IBM
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
iiasa,International Institute for Applied Systems Analysis
IAMconsortium,
openENTRANCE,"openENTRANCE develops an open, transparent & integrated modelling platform for low-carbon transition pathways in Europe, funded by the EU Horizon 2020 programme"
ncsa,National Center for Supercomputing Applications
applicationskeleton,
Parsl,"Parsl: Enabling easy parallelism on clusters, clouds and supercomputers."
iris-hep,Institute for Research and Innovation in Software for High Energy Physics
scailfin,Scalable CyberInfrastructure for Artificial Intelligence and Likelihood Free Inference
researchsoft,
funcx-faas,funcX: High Performance Function Serving for Science
illinois-ceesd,
bbThemis,
rse-council,The International Council of RSE Associations provides a formal open forum for established national and multinational RSE associations to talk and collaborate.
JuliaPlots,Data visualization in Julia
spine-tools,Open source modelling tools
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
pypsa-meets-earth,An open source energy system model initiative for our Earth
SPSUnipi,
gisce,IT for Energy utilities
CLIMADA-project,Research group at ETH Zurich
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
eudoxys,"Electricity load data, analytics, forecasting, modeling, and simulation"
arras-energy,
gridlabd-tutorials,Tutorials to guide newcomers to GridLAB-D on the use of Arras Energy as a simulation tool in GitHub.
CivicTechTO,civic meetups for everyone.
datatogether,Data Together seeks to build a better future for data.
ournetworks,
jazzband,We are all part of this
fossasia,Open Technologies developed in Asia and Around the Globe
calculang,calculang is a language for calculations 🧮✍👩‍💻
pymc-devs,
matlab2tikz,
nvi-inc,
wikimedia,Wikimedia is a global movement whose mission is to bring free educational content to the world.
collective,Plone/Volto add-ons shared code repositories
opensourcedesign,Connecting open source & design! 🎨 Join our forum at https://discourse.opensourcedesign.net
archlinux,
fossasia,Open Technologies developed in Asia and Around the Globe
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
dwyl,Start here: https://github.com/dwyl/start-here
mozillamexico,Mozilla México
wearehx,
cyclejs-community,Cycle.js community contributions
OSWeekends,Open Source Weekends is a tech community in Madrid. We meet up one weekend each month to create and talk about open source.
sysarmymx,
devs-who-sail,a community for software developers that love sailing
archlinuxmx,Comunidad de Arch Linux México
da-edra,"This is my old GitHub profile, my new nickname is 'denisse-dev'"
PiBrewing,All things brewery automation around Pi based devices
LibrePhotos,
QSCTech,一入潮门，终生潮人
fossasia,Open Technologies developed in Asia and Around the Globe
OpenMined,
recursecenter,
skilld-labs,Skilld is an open-source community for IT services.
launchrctl,
cloud-ctl,
cocologics,
modelica,Projects of the Modelica Association
modelica-3rdparty,
impact,A Modelica package manager
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
atcomputing,The AT Computing Open Source Repositories
zavalab,The Scalable Systems Lab at UW-Madison
jmp-app,User and event management software
plapadoo,
GENeSYS-MOD,
switch-model,Optimal planning model for power systems with large shares of renewable energy
TidierOrg,Making Julia a Tidier Place for Data Analysis
geigercrowd,
projectivetech,
WebEngDUS,Web Engineering Meetup Düsseldorf
EnTiMid,
kevoree,Kevoree Project
greycat-incubator,
pynucastro,a python library for nuclear astrophysics
starkiller-astro,
AMReX-Astro,The AMReX Astrophysics Suite: adaptive mesh refinement hydrodynamics codes for astrophysical flows.
Flash-Star,Collection of scripts and analysis code useful for igniting MESA models in FLASH to study stellar explosions.
opennem,"Formerly OpenNEM, Open Electricity aims to make the wealth of public energy data more accessible"
Open-ISP,An accessible and transparent electricity system model based on the Australian Energy Market Operator’s ‘Integrated System Plan’
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
OParl,Offener Standard zum maschinenlesbaren Zugriff auf Ratsinformationssysteme
wurstmineberg,"whitelisted, highly customized but vanilla Minecraft server"
BuergerbautStadt,
codeforberlin,OK Lab Berlin
LimeProject,
Electril-Power-System-Tools,"Open source, free tools for Electric Power Systems. Design, analysis, simulation, study."
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
Gregor-Mendel-Institute,
gisce,IT for Energy utilities
pygrn,Som Gironins apassionats pel llenguatge de programació Python! 🐍🐍🐍
podlinker,Podcast Social Network
ampl,A modeling language for mathematical programming
mit,"For students/alumni/staff/MIT affiliates! To join, email with GitHub+Athena usernames."
montefiore-ms,"Our research concerns the modeling, analysis, optimal design and control of electric power and energy systems."
eggzec,Science & Computing.
tulp,
pypsa-meets-earth,An open source energy system model initiative for our Earth
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
orelyx,climate policy analysis; open-source development of analysis datasets and tools
microsoft,Open source projects and samples from Microsoft
serlo,"We build technology to provide high quality education for free, all open source and without any ads."
edtr-io,"We build Edtr.io, a WYSIWYG in-line web editor written in React"
goodmap,Repositories have been moved to https://github.com/future-coop/
JuliaGeometry,Computational Geometry with Julia
JuliaML,Julia packages for Machine Learning
JuliaEarth,Geospatial data science and geostatistical modeling in Earth sciences
DeltaE,ΔE+ (Delta-E-plus) explores the synergies and trade-offs at the nexus of energy+ to support effective policy development.
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
jazzband,We are all part of this
freesewing,A JavaScript library for parametric design with a focus on sewing patterns
zero-to-mastery,
One-Language,"One (onelang) is an open-source system programming language that makes it easy to build reliable, efficient, and performant software."
dev-protocol,A middleware protocol for building decentralised creator economy.
ashimine-umagon-empire,
cpeditor,Together we can build the best editor for competitive programmers.
bandism,
EddieHubCommunity,"Community of inclusive Open Source people - Collaboration 1st, Code 2nd! Join our GitHub Org 👇"
Py-Contributors,An open Source community primarily for Python.
Design-and-Code,"Connect, Collaborate and Comprehend."
Jaidevstudio,JDStudio Community for Open Source people - Collaboration with code ! Join our GitHub Org 👇
tensorchord,Cloud native AI infrastructure
llm-jp,
pohi-protocol,
korlibs,KorGE Game Engine & Korlibs Kotlin Multiplatform Libraries
EnergyModelsX,
AOS573-2017,This is a nexus of Computational Methods in Atmospheric and Oceanic Sciences.
UW-AOS,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
KitchenTableCoders,
recursecenter,
alumNY,This is an older github org we used to use for hackNY stuff. We now use github.com/hackny.
googlers,Googlers on GitHub
Process-Optimization-and-Control,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
apple,
swift-server,
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
Marketcloud,"Marketcloud, ecommerce backend api as a service"
ampl,A modeling language for mathematical programming
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
fire2a,
OpenScienceWorkshops,
PowerGridModel,Steady-state distribution power system analysis
infrasenselabs,Engineering resilient water supply systems for smarter cities
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
AntaresSimulatorTeam,
EpicGames,
PyPSA,Python for Power System Analysis
JuliaLang,The Julia Programming Language
JuliaWeb,Web technologies in the Julia Programming Language
mitmath,educational materials for MIT math courses
JuliaCommunity,Organizing Julia Community Initiatives
machbarschaft,
Colivery,
JuliaControl,Control Systems Design in Julia
flybywiresim,FlyByWire Simulations is a community-driven group currently focused on creating the A320 family and the A380 for MSFS.
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaStochOpt,Stochastic Optimization in Julia
exanauts,An eclectic collection of ECP ExaSGD project codes
MadNLP,
futuremarinefuels,
JuliaLang,The Julia Programming Language
JuliaSparse,Sparse matrix capabilties in the Julia Programming Language
JuliaWeb,Web technologies in the Julia Programming Language
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaDocs,Documentation-related packages for Julia.
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
JuliaRegistries,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
julia-vscode,The Julia extension for Visual Studio Code provides rich support for the Julia programming language
Ferrite-FEM,
JuliaLogging,
codeneuro,
lightning-viz,
thunder-project,
bolt-project,
binder-project,THIS PROJECT HAS MOVED TO: https://github.com/jupyterhub/binderhub
czi-hca-comp-tools,collaborative computational tools for the human cell atlas supported by CZI
ckb-next,
gridfm,
SAP,"SAP SE, a global software company, is one of the largest vendors of ERP and other enterprise applications."
ffgtso,Public repository for kreisgt.freifunk.net
osism,The European cloud for critical infrastructures.
SovereignCloudStack,Compatible by design. Open by default.
OpenOperations,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
commontk,CTK: The Common Toolkit
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
openego,open electricity Grid optimization
znes,For legal notices see http://www.uni-flensburg.de/en/legal-notice and http://www.hs-flensburg.de/impressum
project-angus,
llnl,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
mfem,"a lightweight, general, scalable C++ library for finite element methods"
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
sundials-codes,https://computing.llnl.gov/projects/sundials
powsybl,Power System Blocks
NLRWindSystems,"The home of wind energy systems models developed, released, and maintained by the National Laboratory of the Rockies, formerly named NREL"
ScaleMicrogridSolutions,
JuliaDiff,Differentiation Tools in Julia
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaEpi,Computational epidemiology in @JuliaLang.
rte-france,
powsybl,Power System Blocks
powsybl,Power System Blocks
Pyomo,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
thehackerwithin,
iiasa,International Institute for Applied Systems Analysis
IAMconsortium,
astro-informatics,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
ULHPC,High Performance Computing @ University of Luxembourg
greeklug,Greek Association of Free Software / Open Source Software Users
iiasa,International Institute for Applied Systems Analysis
energyscope,
Renewable-Energy-Hub-Optimizer,
FEDECOM-Project,
scilifeio,
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
broadinstitute,Broad Institute of MIT and Harvard
CellProfiler,Software for quantitative analysis of biological images
piximi,"a free, open-source web-based image understanding app"
ODI-Devs,
Si-shen-GKJ,
Qinglong-GKJ,
Zhuque-GKJ,
Baih-GKJ,
Xuanw-GKJ,
God-s-Game,
CodePH-Club,
Chroma-Solutions,
ImaheGen,
SorSU-Classroom,
Imperial-Wiki,A student-led initiative at Imperial College London aimed at forming a unified institutional knowledge base. Login to our homepage for joining instructions.
resilient-transition,Open energy modeling for a climate-resilient energy transition.
oxfordcontrol,
energy2market,
NatLabRockies,
BioInf-Wuerzburg,"Department of Bioinformatics, University of Wuerzburg"
BioInf-Wuerzburg-teaching,
TBroTeam,
bioconda,
HackyHour,Code - Tools - Science - Help - Social
CCTB-UW,
cctb-it-wuerzburg,
AliTVTeam,
chloroExtractorTeam,
ime-tools,Tools needed for our work; Logo derived from https://openclipart.org/detail/19214/tools
ag-computational-bio,
microPIECE-team,
AnimalVenomics,
arunaengine,The Data Orchestration Engine
godbus,
grid-x,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
OttoStruve,The University of Texas at Austin Department of Astronomy Organization
SPIE-hack-day-2014,A repository for the Montreal 2014 SPIE Astronomical Telescopes and Instrumentation Hack day
igrins,
BrownDwarf,Research about astrophysics with a focus on low mass stars
Echelle,Silicon diffractive optics research at the University of Texas at Austin
NSCNA,"North Shoal Creek Neighborhood Association, in Austin TX, serves the residents living in the area bounded by MoPac, Research, Burnet, and Anderson Lane."
earthobservations,
powsybl,Power System Blocks
0w1club,XJTU 0w1 Cyber Security Club
xjtuCPES,西安交大信息物理融合实验室能源优化组核心代码开发团队
CPES-EMS,
com-lab,"COM(COMmunity user modeling) Lab, 세종대학교 데이터사이언스과 학과장님의 연구실."
forus-ai,We are Open AGI
matterpoll,
r-spark,"R extensions, tools and resources for Apache Spark"
gentoo,
Libvisual,
BetterCrypto,
gentoo-ev,
pychess,
hsluv,
svn-all-fast-export,
uriparser,uriparser is a strictly RFC 3986 compliant URI parsing and handling library written in C
cpptest,
winamp-libre,
libexpat,
git-big-picture,
experience-experiments,Source of alumni OSS projects.
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
AntaresSimulatorTeam,
EnergyModelsX,
sintefore,An organization for the public available software developed by the research group
dataAt,
SInApSE-INPE,Sistemas Inteligentes Aplicados ao Setor Espacial
ardc-brazil,Atmospheric Big Data and Data Science Research Group in Brazil
fortracc,ForTracc Project
labren,Laboratório de Modelagem e Estudos de Recursos Renováveis de Energia (LABREN)
PrincetonUniversity,
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
JuliaEnergy,
lanl-ansi,Los Alamos Advanced Network Science Initiative
pytub,
IUNO-TDM,
modelica,Projects of the Modelica Association
ld4mbse,
ManimCommunity,
Alan-s-Speakeasy,Alan's Speakeasy: a relaxed atmosphere to take your Turing Test
hzspeed,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
IBM,Open Source @ IBM
invenia,
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaTime,Date and Time libraries for the Julia Language
JuliaCloud,Cloud service interfaces for Julia
beacon-biosignals,
f3-factory,"Less hype, more meat. Providing lightweight and fast packages."
OCA,The GitHub repos for all Open Source work around Odoo
nodejitsu,
nko,
tc39,"Ecma International, Technical Committee 39 - ECMAScript"
EmpireJS,
LXJS,A not-for-profit by-the-community and for-the-community international conference about the New Worlds of JavaScript.
winstonjs,A logger for just about everything
foreversd,An elegant process monitor for anything.
http-party,Who says networking can't be fun?
gatherscript,Non-profit tech events advisement
crosscompute,"Create and Share Runnable Tools Across Your Organization: Distributed Computing for Scenario Planning, Electricity Infrastructure, Hazard Mitigation"
AmericanPublicPowerAssociation,
python-organizers,
calliope-project,A multi-scale energy systems modelling framework
HivemindTechnologies,
ForetagInc,A collective open source group.
master-co,An ecosystem of UI
arras-energy,
BC-EESC4464-SP21,
dssg,
PowerGridModel,Steady-state distribution power system analysis
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
witch-team,
ERGO-Code,
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
rte-antares-rpackage,RTE ANTARES R PACKAGE
zavalab,The Scalable Systems Lab at UW-Madison
kahypar,KaHyPar (Karlsruhe Hypergraph Partitioning) is a high-quality multilevel k-way hypergraph partitioning framework.
plasmo-dev,An organization for Plasmo and related Julia packages
esma-cu,
facebook,We are working to build community through open source technology. NB: members must have two-factor auth.
HewlettPackard,Hewlett Packard Enterprise on github; please contact github@hpe.com for access
fossasia,Open Technologies developed in Asia and Around the Globe
EpicGames,
facebookresearch,
facebookincubator,"We work hard to contribute our work back to the web, mobile, big data, & infrastructure communities. NB: members must have two-factor auth."
facebookexternal,
pytorch,
sutd-robotics,"AGVs, and UGVs, usually with ROS, sometimes otherwise!"
aruba,
OpenSUTD,An open organisation owned by the SUTD community.
wthdevelopers,What The Hack supports open source event management.
SymMotion,SUTD Capstone 2022 - Group S35
Krypto-Hashers-Community,KHC — A collective of coders and crypto geeks building open-source tools and breaking limits.
genn-team,The GeNN Development Team
arpra-project,The Arpra Project creates tools for analyzing numerical error in floating-point software.
hackutk,"The University of Tennessee, Knoxville's resident computer security organization."
php-csas,Context-Sensitive Auto-Sanitization for PHP
volhacks,VolHacks: the University of Tennessee - Knoxville's official student-organized hackathon
VolSec,"Computer Security Research Lab at the University of Tennessee, Knoxville"
uncategorizedexpense,Solving Uncategorized Transactions one firm at a time
ivoryshoulder,
valuedeliberation-tudelft,
CERC-AAI,
wedoco,
MaREI-EPMG,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
Energy-MAC,EMAC does research to advance decarbonization pathways for the electric grid.  Our members work and study at UC Berkeley and Lawrence Berkeley National Lab.
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
ComS342-ISU,Course content for ComS 342: Principles of Programming languages at Iowa State during Spring 2014.
boquila,Non-profit. Tech for nature
powsybl,Power System Blocks
elemental,
clawpack,Conservation Laws Package -- Finite volume methods for hyperbolic PDEs.
libMesh,
petsc,PETSc is a suite of composable data structures and algorithms for scalable (parallel) solution of scientific applications modeled by PDEs.
hpgmg,
E3SM-Project,Repositories associated with the E3SM Project
openjournals,"Open Journals is a collection of open source, open access journals"
CUBoulder-HPCPerfAnalysis,
ESMCI,
PHASTA,
mfem,"a lightweight, general, scalable C++ library for finite element methods"
