,description
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
CEED,ECP Co-Design Center for Efficient Exascale Discretizations (CEED)
TDycores-Project,
blas-lapack-rs,
jupyter4edu,Jupyter for Education focuses on best practices and content for teaching with Jupyter notebooks.
pywr,A collection of repositories related to the Pywr ngeneralised network resource allocation modelling library.
IDAES,Institute for the Design of Advanced Energy Systems
Open-Power-System-Data,
alternaDev,
LittleRolf,
Puut,
HappyCarl,
MoinApp,
PedaAutomation,
OpenEnergyTwin,
CURENT,CURENT Large Scale Testbed
cocoaheads-hh,
milchundzucker,eRecruiting Solutions and Recruitment Advertising. Creator of the BeeSite Talent Management Suite.
jaleel22,
akashchan,
spine-tools,Open source modelling tools
TradeRES,
irena-flextool,
NatLabRockies,
iitis,"Institute of Theoretical and Applied Informatics, Polish Academy of Sciences"
COST-IC1405,ICT COST Action IC1405: Reversible computation - extending horizons of computing
QPoland,
seahorce-scidac,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
modex-flexmex,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
jump-dev,An organization for the JuMP modeling language and related repositories.
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
Project60,A collection of CiviCRM extensions that were missing for European users
HochschuleHofStundenplanapp,
foodsharing-dev,Please see gitlab for active development of foodsharing.de - https://gitlab.com/foodsharing-dev
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
coverified,We build AI-based software applications for the public sector - to make information easily accessible and searching more efficient.
IBM,Open Source @ IBM
RMI,"RMI is a nonpartisan nonprofit transforming global energy systems through market-driven solutions to secure a clean, prosperous, zero-carbon future for all."
OpenMDAO,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
pommes-public,POMMES - a cosmos for bottom-up linear fundamental power market modeling
radical-data,"Repurposing tech for liberation + joy ✨ We are a studio 💻, educational platform 📖 & community 🪢"
rte-france,
quintel,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
quarree100,
protontypes,A Free Community Accelerating Open and Sustainable Technology
opencorridor,Democratising sustainability intelligence 🌐🌎
openCEMorg,
hermit-os,"A Rust-based, lightweight unikernel."
PowerProfile,⌨️ A usable PowerShell profile for Cloud Admins and DevSecOps.
powerframes,Expert Framework for Power Systems
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
rukzuk,simply powerful web design
knime,
kajona,
jenkinsci,Jenkins is an open source automation server with an unparalleled plugin ecosystem to support practically every tool as part of your delivery pipelines
Pyomo,
offgridlab,
SESMG,Open source energy system modeling tool developed at Münster University of Applied Sciences
enosi,"A community energy platform providing consumers with choice, transparency and efficiency."
ace-teknologi,"Quietly and slowly, then loudly and quickly working on changing the world."
IWUGERMANY,
rl-institut,
orkestra-energy,
ipunkt,We are closed forever.
JuliaGeo,"JuliaGeo is a community of researchers, engineers and others interested in working with spatial data in Julia."
JuliaObjects,
JuliaFunctional,
sandialabs,Exceptional service in the national interest.
Pyomo,
IDAES,Institute for the Design of Advanced Energy Systems
OpenMined,
NatLabRockies,
sandialabs,Exceptional service in the national interest.
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
openpvtools,
AssessingSolar,
PVSC48-Clipping-loss-validation,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
EnvironmentalSystemsLab,
Frankenslot,
Urbano-io,Site and mobility analysis in Rhino & Grasshopper
Eddy3D-Dev,Airflow and Microclimate Simulations for Rhino & Grasshopper
VIP-SMUR,A Vertically Integrated Project at Georgia Tech.
SustainableUrbanSystemsLab,"Decision-making tools for sustainable urban planning, design, and architecture at Georgia Tech."
KonScience,Der Wissenschaftspodcast aus Konstanz | PGP-ID: 0x76B000F1 fingerprint: A9F8 35E2 6130 BCA2 0C98 7E14 A61B 4065 76B0 00F1
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
NatLabRockies,
dss-extensions,Language interfaces and extensions for an alternative implementation of EPRI's OpenDSS
cc-api,Reduce the complexity of various cloud frameworks and TEE engines
TrustAgentPlatform,Build a Robust GenAI Agent Platform for Diverse Industry Applications
collective,Plone/Volto add-ons shared code repositories
KBDI-Kirchhof-Beratung,
iiasa,International Institute for Applied Systems Analysis
exanauts,An eclectic collection of ECP ExaSGD project codes
GReX-Telescope,
open-xchange,
rte-france,
rte-antares-rpackage,RTE ANTARES R PACKAGE
cantbloom,
freifunk-mwu,"Freifunk in Mainz, Wiesbaden & Umgebung"
freifunk-hessen,
neulandcamp,
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
puzzle,
FreifunkMYK,Freifunk in der Mitte von Rheinland-Pfalz
ito-org,"[project abandoned] track infections, not people."
tagspaces,Take back control of your files
freifunkMUC,
IDAES,Institute for the Design of Advanced Energy Systems
CCSI2-Toolset,
CCSI-Toolset,The Carbon Capture Simulation Initiative (CCSI) Toolset is a suite of computational models for carbon capture equipment and design processes.
Geologik,
Utiligize,Asset Management for Utilities
andvari-entertainment,Norse Indie Hobby Gaming
peckapp,Bringing social calendaring and event discovery to colleges across the country
bsci,Bronfman Science Shop at Williams College
additiveai,Giving tax professionals superpowers
jenkinsci,Jenkins is an open source automation server with an unparalleled plugin ecosystem to support practically every tool as part of your delivery pipelines
Cantera,"A suite of object-oriented software tools for problems involving chemical kinetics, thermodynamics, and/or transport processes."
Niemeyer-Research-Group,
SLACKHA,SLACKHA is a Software Library for Accelerating Chemical Kinetics on Hybrid Architectures
OpenEngr,
pr-omethe-us,
SI2-PI-community,
SoftwareDevEngResearch,material for ME 599: Software Development for Engineering Research at Oregon State
wssci,Western States Section of the Combustion Institute (WSSCI)
jupyter4edu,Jupyter for Education focuses on best practices and content for teaching with Jupyter notebooks.
combustion-community,
caltech-theforce,Our research focuses on modeling the interactions between combustion processes and turbulent flows.
Power-Systems-Textbook,
JuliaAstro,
NHaml,
webkitdotnet,
psake,A build automation tool written in PowerShell.
kalispera,Hannes & Lasse Diercks creating open source software
patternsonio,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
urbanvention,
guard,Guard is a command line tool to easily handle events on file system modifications.
ember-mobile,
letsintegrate,Let's integrate aims to support the integration process of refuges in Europe.
kul-optec,"Research group led by Panos Patrinos at KU Leuven, Department of Electrical Engineering, ESAT-STADIUS"
udw-io,
make-or-break,projects created by friends
k9mail,K-9 Mail – Open Source Email App for Android
c-base,Raumstation unter Berlin-Mitte
ethereum,
criticalmaps,
esPass,
survivalmanual,
berlin-hack-and-tell,Present your app/site/lib/robot/etc. in 5mins and then 5min conversation with the audience
walleth,The native Android Ethereum wallet
ethereum-lists,Curated Ethereum Lists
ethereum-magicians,
efdevcon,
ethberlin-hackathon,All things ETHBerlin 2018
goerli,An Ethereum Testnet community.
department-of-decentralization,"A collective of people from crypto, decentralization, and peer-to-peer communities."
komputing,Kotlin libraries shared between different projects - mainly in the web3 space.
tincubeth,reasonable privacy for Ethereum
ethdevberlin,the Ethereum office in Berlin
ethberlinzwei,
ChainAgnostic,CASA is a self-organized developer alliance advancing blockchain interoperability
omyradio,
efdevconnect,
ethb3rlin,"ETHBerlin, CIC Innovation Campus, May 24-26, 2024."
ethereumeg,Organizing diversity against commercialization in Ethereum community
WalletUnCon,
blockchainweek,
Meteroi,
OpenFPGAduino,
JavaScriptIOT,
SparkDL,
PyPSA,Python for Power System Analysis
SonarQubeCommunity,
h2o,The H2O project
spin-systems,
facet-rs,"Reflection, introspection, serialization, deserialization for Rust"
pydata,
open-modex,Model experiments of 5 open-source frameworks.
GENeSYS-MOD,
django,
JuliaLang,The Julia Programming Language
google,Google ❤️ Open Source
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
djangocon,"International Django conferences held in North America, Europe, Australia, and Africa."
JuliaCon,The Julia Conference
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaML,Julia packages for Machine Learning
me50,
FluxML,The Elegant Machine Learning Stack
vault50,@CS50's lesson plans and sample solutions
JuliaClimate,
JuliaReinforcementLearning,A collection of tools for reinforcement learning research in Julia
JuliaEs,Translating Julia stuff into Spanish!
julia-vscode,The Julia extension for Visual Studio Code provides rich support for the Julia programming language
googlers,Googlers on GitHub
JuliaIntro,
JuliaLangSlack,Projects built to enable the Julia Lang community Slack workspace
JuliaGaming,Open source games built in the Julia Programming Language.
JuliaAcademy,The definitive source for learning all things Julia. Prepared by core Julia developers in collaboration with Julia Computing.
JuliaCommunity,Organizing Julia Community Initiatives
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
Julia-Streamers,The official organization for the Julia Streaming community!
CA-Beaches,
UGJL,
HarvardUniversity-FoodinSociety,
JuliaSleep,Open source tools for sleep research using Julia
Julia-Blockchain,
E-118-Spring21,
packaging-con,"A conference for Developers of package management software, software packagers, and communities."
JuliaBooks,Create books with Julia
Hugging-Face-Supporter,Thank you for helping out Hugging Face!
JuliaZoid,The best place to learn the Julia programming language.
OpenSourceForStudents,The definitive Open Source Guide for Students.
google-gemini,Get started building with the Gemini API
witch-team,
jsoxford,
ampeersenergy,Gemeinsam machen wir Ihre Immobilien zukunftssicher
FormingWorlds,
ExPlanetology,Experimental Planetology (ETH Zurich)
KitesForFuture,
PIK-ICoNe,"Dynamics, stability and resilience of complex hybrid infrastructure networks"
macro-cosm,A Better Economics for a Better World.
assaultcube,
eaplab,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
UNSW-CEEM,
modelica,Projects of the Modelica Association
ALSETLab,"This organization hosts projects of ALSETLab, Prof. Luigi Vanfretti's research team @ RPI"
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
kaust-merge,Mechatronics & Energy Systems Research Group
FliiteCorp,
DEA-GE,We share best practice from the green transition in Denmark through government-to-government cooperation.
JainFamilyInstitute,
CenterforActiveStewardship,
RWTH-ACS,
lfenergyarchitecturemodel,
devops-wien,devops.wien Live SKS/Terraform Demo
quintel,
mbT-Solutions,
mbT-Infrastructure,
Team-VisionPilot,
madiko-gitcrew,Lebens- & Arbeitswelten mit Zukunft
greco-project,
CIRAIG,
kubernetes-sigs,Org for Kubernetes SIG-related work
iRail,Open transport data in Belgium
JuliaLang,The Julia Programming Language
JuliaGPU,GPU Computing in Julia
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaParallel,Parallel programming in Julia
JuliaComputing,
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaInterop,Easy interoperability between Julia and other languages
JuliaBinaryWrappers,Autogenerated Julia packages for usage with BinaryBuilder and Pkg
JuliaPerf,
JuliaTelecom,Julia packages for Telecommunications
JuliaConcurrent,
JuliaLLVM,Working with LLVM in Julia
sehrings-landlaedchen,
Scilab-India,
Oscad,
tech4germany,We work on a more innovative government using design and technology.
Reasonance-GmbH,Making Data Reasonate
we-Travel,
e-loq,Recognizing obstacles in 3d point cloud data
OpenIPSL,An team of collaborators developing the OpenIPSL Modelica library for power system simulations and other related oss projects in power system modeling and sim.
empuxa,
raddatz-org,
eniqo-energy,
Chemios,
Skunk-Brothers,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
AlternateLife,Alternate-Life GTA RP Server Projekt
CIRAIG,
PyPSA,Python for Power System Analysis
PyPSA,Python for Power System Analysis
FoxBaja,
inspermileage,Projeto acadêmico formado por alunos do Insper que tem como objetivo desenvolver um protótipo de veículo elétrico de alta eficiência energética.
CurrySoftware,
python-spain,Asociación Python España
FariSoftware,Fari Software GmbH
MAHTEP,Modeling of Advanced Heat Transfer and Energy Problems
CIRAIG,
BugAlertDotOrg,
Al-Nafi,Al Nafi is an organization with a vision to bring world class education within the reach of everyone.
SOCIRIS,"SOCIRIS (Security Operations Center Intelligent Response & Intrusion Surveillance), An AI-Powered Intrusion Detection, Prevention & Surveillance System"
freifunk,
freifunk-gluon,"Projects around Gluon, a modular framework for creating OpenWrt-based firmwares for wireless mesh nodes."
ffac,"Aachen, Städteregion und Umgebung"
assume-framework,Agent based market model toolbox
upb-lea,Department of power electronics and electrical drives
IBM,Open Source @ IBM
DS4SD,Developer tools for IBM Deep Search
docling-project,
BieglersGroup,
pylada,
astro-informatics,
DCPROGS,Software for scientific research on ion channels
UCL-CCS,
OPTIMET,
mantidproject,
neutrons,
OpenGridMap,Open community crowdsourcing power grid data
iiasa,International Institute for Applied Systems Analysis
emlab-ucsb,The Environmental Markets Lab (emLab) is an interdisciplinary team of scientists based at the University of California Santa Barbara.
cetlab-ucsb,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
z-shell,Open-source society passionate about Zsh
statelyai,Visual software platform for app logic & workflows
komplio,
siege-green,EVE ONLINE - Siege Green Alliance
coin-or,Computational Infrastructure for Operations Research.
DrafProject,"Home of Demand Response Analysis Framework (DRAF), it's modules, and showcases."
switch-model,Optimal planning model for power systems with large shares of renewable energy
PowerGridModel,Steady-state distribution power system analysis
faktaoklimatu,Iniciativa veřejných infografik o změně klimatu
jCoderZ,
googlers,Googlers on GitHub
cosmo-sims,Tools for numerical cosmology
pymc-devs,
JuBiotech,
hsf-training,Training and educational material for the high energy physics community.
BNLNPPS,Website and resources of the BNL Nuclear and Particle Physics Software Group
googlers,Googlers on GitHub
vidibus,
msysgit,This organization has been superseded by https://github.com/git-for-windows
thehackerwithin,
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
BreakingBytes,
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
PVSC48-Clipping-loss-validation,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
NixOS,
doritool,
rwth-acis,
learning-layers,Scaling up Technologies for Informal Learning in SME Clusters
shahriarspace,
ai4energy,数智能源研究组
IDAES,Institute for the Design of Advanced Energy Systems
SiLab-Bonn,"Silicon Lab Bonn, Detector Physics Group"
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
RWTH-ACS,
hermit-os,"A Rust-based, lightweight unikernel."
rust-osdev,Operating System Development in Rust
threeten-jaxb,
unikraft,A Unikernel Development Kit. Extreme Specialization for Security and Performance.
rosenpass,
unikernelalliance,
metro-nom,Setting the pace for food and technology
smart-energy-di,
ProjectBabbage,Building things within a weekend timespan. One edition per year. On invitation.
openego,open electricity Grid optimization
JuliaLang,The Julia Programming Language
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
jump-dev,An organization for the JuMP modeling language and related repositories.
JuliaComputing,
compas,The Computational Atomic Structure group
JuliaDocs,Documentation-related packages for Julia.
JuliaAtoms,
rl-institut,
box-id,
cleanweb-uk,
productscience,
thegreenwebfoundation,The Green Web Foundation - Let's make the web green
researchops,
Greening-Digital,Sustainability for digital teams
LocPrivFogSim,
NixOS,
dn42,
hackint,IRC Network
nix-community,A project incubator that works in parallel of the @NixOS org
CCT-JunITer,We are a IT-Consultancy // Software Development Team run by TU Berlin students of various academic backgrounds
JuliaDiff,Differentiation Tools in Julia
RWTH-ACS,
VILLASframework,VILLASframework is a toolset for local and geographically distributed real-time co-simulation.
neuland,
evcc-io,solar charging ☀️🚗
IBM,Open Source @ IBM
The-AI-Alliance,
gridfm,
kubis-ai,
Zenmo,
foss4good,Free and open source software for good
jointhesong,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
openego,open electricity Grid optimization
rl-institut,
stuvusIT,stuvus IT Team - Studierendenvertretung Universität Stuttgart
FIUS,Student association of computer science
c-hack,C-Hack: Der Calwer Hackerspace
AmyAssist,
Schall-Rauch,"The ""schall&rauch"" festival"
hpcc-hcmut,"High Performance Computing Center, Ho Chi Minh City University of Technology (HCMUT), VNU HCM"
Big-Data-Club,"Big Data Club (BDC) là câu lạc bộ học thuật trực thuộc Trường Đại học Bách Khoa TP.HCM, tập hợp các bạn sinh viên yêu thích Big Data và các lĩnh vực liên quan"
architecture-building-systems,Research group at ETH Zürich with a focus on active and passive systems for the energy supply and climate control of buildings and cities.
IndEcol,Open source software and other material for industrial ecology
YaleCIE,
UNSW-CEEM,
Open-ISP,An accessible and transparent electricity system model based on the Australian Energy Market Operator’s ‘Integrated System Plan’
assume-framework,Agent based market model toolbox
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
RelationalAI,
JuliaServices,
JuliaTesting,Testing tools for the Julia language
JuliaEcosystem,
morgansolar,
todogroup,TODO Group
freedomvote,
fsfe,Mirror of a few popular FSFE repositories. All repositories on https://git.fsfe.org
oss-review-toolkit,
com-pas,61850 SCL management and configuration tool
alliander-opensource,Open Source repositories from Alliander. Interested? Send us an e-mail!
shapeshifter,"Shapeshifter implements the Universal Smart Energy Framework for flexibility forecasting, offering, ordering, and settlement processes."
ospo-nl,"Open Source Program Office collaboration, best practices of NL parties"
Enapter,Shaping the energy systems of the future.
openhab,
PowerGridModel,Steady-state distribution power system analysis
NatLabRockies,
ibpsa,International Building Performance Simulation Association
ClimAg,"Repositories for the EPA Research Project ""ClimAg: Multifactorial causes of fodder crises in Ireland and risks due to climate change"" and other related projects"
wind-to-hydrogen-toolkit,"Tools to study the integration of offshore wind with the production, storage, and utilisation of hydrogen"
spine-tools,Open source modelling tools
WISPO-POP,
fs-geofs,
sensebox,The senseBox is a Citizen Science DIY Toolbox for schools and citizens.
sitcomlab,"Working group of the Situated Computing Lab (Institute of Geoinformatics, Muenster)"
go-gitea,Git with a cup of tea
itesla,
powsybl,Power System Blocks
quintel,
openmod-initiative,
FRESNA,Repository of FRESNA (FIAS Renewable Energy Systems & Network Analysis)
PyPSA,Python for Power System Analysis
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
qojulia,Umbrella organization for Quantum Optics related projects in Julia
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
QuantumEngineeredSystems,
powsybl,Power System Blocks
wgapl,Github page of Wood Gesellschaft Applied Physics Laboratory
phytomech,Changing the way we grow plants.
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaCon,The Julia Conference
JuliaStochOpt,Stochastic Optimization in Julia
jump-dev,An organization for the JuMP modeling language and related repositories.
balmorelcommunity,
ReeemProject,Role of technologies in an energy efficient economy – model based analysis policy measures and transformation pathways to a sustainable energy system
energy-modelling-club,
etsap-TIMES,
Modelling-Team-GR,
MaREI-EPMG,
esma-cu,
times-ukraine,
paperwm,
lanl,
powsybl,Power System Blocks
JuliaLang,The Julia Programming Language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
beacon-biosignals,
JuliaTesting,Testing tools for the Julia language
JuliaLogging,
openjournals,"Open Journals is a collection of open source, open access journals"
data2people,
Yello-Solar-Hub,"A Yello Solar Hub revoluciona o mercado solar, oferecendo uma experiência 100% digital e sob demanda. Do cálculo do seu projeto à instalação, tudo acontece de f"
invenia,
JuliaDatabases,Various database drivers for Julia
JuliaCon,The Julia Conference
JuliaDiff,Differentiation Tools in Julia
JuliaGraphics,
JuliaWeb,Web technologies in the Julia Programming Language
openjournals,"Open Journals is a collection of open source, open access journals"
JuliaML,Julia packages for Machine Learning
JuliaString,Organization for Julia string handling packages
JuliaCrypto,Cryptography made easy in Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
FluxML,The Elegant Machine Learning Stack
JuliaTesting,Testing tools for the Julia language
JuliaLogging,
powsybl,Power System Blocks
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
Inovesa,
nodeschool,Open source workshops that teach web software skills
lucpod,
nuqleartech,
promethiumjs,
JuliaComputing,
EpicGames,
saec-dresden,
AC-Fernglas,
codez-one,
WirVsVirusCovidTestProcess,
HMP-Solutions,
gremio-eci,Grêmio de Engenharia de Computação e Informação da UFRJ
UFRJ-Analytica,UFRJ's data science competition team.
cyberespaco,
powerpointers,
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
UNH-CORE,UNH Center for Ocean Renewable Energy
CliMA,The next generation of climate models. Built in the open.
calkit,Reproducibility = productivity
phpbrew,The PHPBrew Headquarters
SeLite,Reuse navigation scripts in Selenium IDE
BeautyInfo,Provide Beauty information
NTTU-Open,
ar2labs,Community & Collaboration
linna,PHP Tools for Web Applications.
thank-you-php,An open letter of gratitude to PHP
PayCrypto,
sunrise-php,"Simple, yet effective solutions."
alphazframework,AlphaZ is a simple yet powerful PHP MVC framework for rapid application development that is suited for small to medium scale apps and APIs.
antidot-framework,Antidot Framework and Component Development
selective-php,Collection of awesome PHP packages
free-open-source,
open-source-contributions,
lazzard,We Make Things That Do Stuff
Pharaonic,Pharaonic provides a variety of packages. Our goal is helping every developer around the world finish their project as quickly as possible and with no effort.
iii-api-platform,
PowerGridModel,Steady-state distribution power system analysis
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
CMCRobotics,
CosmicPi,Cosmic Pi low cost cosmic ray detector project
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
leanprover-community,Community-built infrastructure for the Lean (https://leanprover.github.io/) theorem prover
StatisticalRethinkingJulia,Julia versions of the 'golems' in Statistical Rethinking by Richard McElreath.
JuliaCommunity,Organizing Julia Community Initiatives
InPhyT,"Complex Systems Modelling Group: Computational Social Science, Epidemiology and Neuroscience."
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
DoriaLab,Handmade with passion since 1905.
UniTo-SEPI,Health data science collaborative project between the University of Turin (UniTo) and the Piedmont Epidemiological Service (SEPI).
BayesianDataAnalysisJulia,"@JuliaLang implementation of concepts, methods and examples from ""Bayesian Data Analysis"" by Gelman, Carlin, Stern, Dunson, Vehtari and Rubin."
NeuronalDynamicsJulia,"@JuliaLang implementation of models and exercises from the ""Neuronal Dynamics"" book and course by Gerstner, Kistler, Naud and Paninski."
JuliaEpi,Computational epidemiology in @JuliaLang.
JuliaTrustworthyAI,Home for repositories of the Taija (Trustworthy Artifical Intelligence in Julia) project.
TidierOrg,Making Julia a Tidier Place for Data Analysis
FormalMathematicsLab,
powsybl,Power System Blocks
keedrop,Secure secrets transfer
interactiveinstitute,
sp-etx,
YanziNetworks,
MESAHub,Modules for Experiments in Stellar Astrophysics
flatironinstitute,@SimonsFoundation
scientific-computing-handbook,"Your definitive guide to implementing algorithms for scientific computing in C++, Python, and Julia"
CCA-Software-Group,Organization hosting various projects of the CCA Software Group.
AdirondaxProject,
JaxionProject,
AstroBenchmarks,
Oxbern,3D displays for science and communication.
teslauvm,An energy systems research group at the University of Vermont
PrincetonUniversity,
mfem,"a lightweight, general, scalable C++ library for finite element methods"
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
ginkgo-project,Informal organization steering the development of the Ginkgo library and related software.
locuslab,Zico Kolter's Research Group
OpenLeo,OpenLeo is a collective that aims to create an opensource car electronics and software ecosystem.
F-Heat,
znc,
awesomeWM,
CvO-Theory,
magnum-af,
spine-tools,Open source modelling tools
pypsa-meets-earth,An open source energy system model initiative for our Earth
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
RhobanProject,
JuliaLang,The Julia Programming Language
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaDatabases,Various database drivers for Julia
JuliaWeb,Web technologies in the Julia Programming Language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
JuliaStrings,
JuliaServices,
JuliaLogging,
NLeSC,
JuliaDatabases,Various database drivers for Julia
cetlab-ucsb,
invenia,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
powsybl,Power System Blocks
MATPOWER,
KSA-Oepites-Zomergem,
EpicGames,
OCA,The GitHub repos for all Open Source work around Odoo
sragendevs,"Komunitas IT developers yang berasal dari sragen, jawa tengah."
valiot,
hpi-swa-teaching,Student projects
MaxiNet,
Exposify,"Checkout our API product for real estate plattforms, EstateSync:"
containernet,A Mininet fork that allows to use Docker containers as hosts to emulated networks.
HPI-Information-Systems-Teaching,
EstateSync,
rlai-lab,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
Rackow-Schulen,Higher education company based in Berlin and Frankfurt
Energy-MAC,EMAC does research to advance decarbonization pathways for the electric grid.  Our members work and study at UC Berkeley and Lawrence Berkeley National Lab.
JuliaStats,Statistics and Machine Learning made easy in Julia
invenia,
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
powsybl,Power System Blocks
INATECH-CIG,
LITIC-bv,
Doing-The-Math,For a Sustainable Future
DAXGRID,DAX is a specialist in software solutions tailored for utility companies involved in electricity and fiber distribution.
strnx,
cgmes,CIM profiles for TSO system development and system operation data exchanges
caseformat,Power flow case data file format
cktcsv,Unbalanced multi-phase circuit data in CSV format
powe-rs,
wgu-101,
smallbunnies,
ES-DOC,"Earth System Documentation (ES-DOC) project supplies high-quality tools & services in support of earth system documentation creation, analysis and dissemination"
cf-convention,Source code repository for CF Conventions documents at http://cf-convention.github.io
ES-DOC-INSTITUTIONAL,
NCAS-CMS,Useful tools to support NERC weather and climate research
torusa,"Tom, Ruby & Sadie"
2021-Energy-Climate-Hackathon,
IS-ENES3,Infrastructure for the European Network for Earth System Modelling
GreenScheduler,
NCAS-VISION,"VISION: Virtual Integration of Satellite and In-Situ Observation Networks, a project by NCAS: National Centre for Atmospheric Science"
railslove,"We're an agile team building new products for the web. And oh boy, we're kind of good at it. Want to work with us?"
groupoasys,
tud-energy-economics,Chair of Energy Economics at TU Dresden
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe,"
ansuiuc,
ucsusa,Science for a healthy planet and safer world.
JuliaBayesianOptimization,
Boavizta,
Hugging-Face-Helping-Hand,
genai-impact,
grueneschweiz,
jungegruene,Giovani Verdi Svizzera ፨ Jeunes Vert·e·x·s Suisse ፨ Junge Grüne Schweiz ፨ jungegrüne
E3SM-Project,Repositories associated with the E3SM Project
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe,"
levigo,Wir sind Hersteller leistungsstarker Software für den Plattform-unabhängigen Zugriff auf Dokumentenmanagement-Systeme.
U-QASAR,
typhon-project,Polyglot and Hybrid Persistence Architectures for Big Data Analytics
